subjid	 runtrial	 onsettime	 ImageLeft	 ImageRight	 StimNumLeft	 StimNumRight	 Response	 Outcome	 RT
BMI_bf_105	 1	 5.329351e-01	 019.tif	 114.tif	 19	 44	 i	 0	 7.661293e+02
BMI_bf_105	 2	 4.032808e+00	 118.tif	 002.tif	 48	 2	 i	 0	 1.465987e+03
BMI_bf_105	 3	 7.532731e+00	 116.tif	 012.tif	 46	 12	 u	 0	 1.037861e+03
BMI_bf_105	 4	 1.103269e+01	 010.tif	 130.tif	 10	 60	 i	 0	 8.016446e+02
BMI_bf_105	 5	 1.453247e+01	 124.tif	 114.tif	 54	 44	 u	 0	 1.821610e+03
BMI_bf_105	 6	 1.803248e+01	 124.tif	 027.tif	 54	 27	 u	 0	 7.534391e+02
BMI_bf_105	 7	 2.153217e+01	 129.tif	 114.tif	 59	 44	 u	 0	 1.133502e+03
BMI_bf_105	 8	 2.503227e+01	 020.tif	 022.tif	 20	 22	 u	 0	 1.073165e+03
BMI_bf_105	 9	 2.853210e+01	 030.tif	 124.tif	 30	 54	 i	 0	 1.029108e+03
BMI_bf_105	 10	 3.203206e+01	 121.tif	 126.tif	 51	 56	 u	 0	 1.232886e+03
BMI_bf_105	 11	 3.553187e+01	 029.tif	 130.tif	 29	 60	 i	 0	 1.500858e+03
BMI_bf_105	 12	 3.903186e+01	 129.tif	 130.tif	 59	 60	 u	 0	 1.160688e+03
BMI_bf_105	 13	 4.253168e+01	 106.tif	 112.tif	 36	 42	 i	 0	 1.132622e+03
BMI_bf_105	 14	 4.603158e+01	 101.tif	 116.tif	 31	 46	 u	 0	 1.216486e+03
BMI_bf_105	 15	 4.953151e+01	 025.tif	 001.tif	 25	 1	 u	 0	 9.963346e+02
BMI_bf_105	 16	 5.303144e+01	 123.tif	 116.tif	 53	 46	 u	 0	 1.096172e+03
BMI_bf_105	 17	 5.653130e+01	 128.tif	 008.tif	 58	 8	 u	 0	 8.441015e+02
BMI_bf_105	 18	 6.003121e+01	 001.tif	 115.tif	 1	 45	 i	 0	 6.719721e+02
BMI_bf_105	 19	 6.353104e+01	 103.tif	 114.tif	 33	 44	 u	 0	 8.839046e+02
BMI_bf_105	 20	 6.703095e+01	 025.tif	 118.tif	 25	 48	 i	 0	 9.677578e+02
BMI_bf_105	 21	 7.053083e+01	 106.tif	 011.tif	 36	 11	 i	 0	 8.356463e+02
BMI_bf_105	 22	 7.403080e+01	 010.tif	 025.tif	 10	 25	 u	 0	 2.095331e+03
BMI_bf_105	 23	 7.753057e+01	 018.tif	 117.tif	 18	 47	 i	 0	 5.794777e+02
BMI_bf_105	 24	 8.103058e+01	 126.tif	 110.tif	 56	 40	 u	 0	 8.632173e+02
BMI_bf_105	 25	 8.453040e+01	 116.tif	 025.tif	 46	 25	 u	 0	 9.152349e+02
BMI_bf_105	 26	 8.803037e+01	 008.tif	 001.tif	 8	 1	 u	 0	 7.029845e+02
BMI_bf_105	 27	 9.153019e+01	 020.tif	 011.tif	 20	 11	 i	 0	 7.869271e+02
BMI_bf_105	 28	 9.503014e+01	 125.tif	 112.tif	 55	 42	 i	 0	 1.382704e+03
BMI_bf_105	 29	 9.853001e+01	 026.tif	 016.tif	 26	 16	 u	 0	 1.234619e+03
BMI_bf_105	 30	 1.020299e+02	 108.tif	 004.tif	 38	 4	 u	 0	 1.294452e+03
BMI_bf_105	 31	 1.055298e+02	 025.tif	 015.tif	 25	 15	 u	 0	 1.178408e+03
BMI_bf_105	 32	 1.090297e+02	 119.tif	 022.tif	 49	 22	 i	 0	 1.678133e+03
BMI_bf_105	 33	 1.125296e+02	 123.tif	 108.tif	 53	 38	 u	 0	 1.290144e+03
BMI_bf_105	 34	 1.160295e+02	 121.tif	 005.tif	 51	 5	 u	 0	 1.205932e+03
BMI_bf_105	 35	 1.195294e+02	 012.tif	 102.tif	 12	 32	 i	 0	 1.385887e+03
BMI_bf_105	 36	 1.230293e+02	 028.tif	 126.tif	 28	 56	 u	 0	 1.317715e+03
BMI_bf_105	 37	 1.265291e+02	 010.tif	 012.tif	 10	 12	 u	 0	 9.377091e+02
BMI_bf_105	 38	 1.300291e+02	 006.tif	 118.tif	 6	 48	 i	 0	 1.397388e+03
BMI_bf_105	 39	 1.335290e+02	 028.tif	 026.tif	 28	 26	 i	 0	 1.665334e+03
BMI_bf_105	 40	 1.370289e+02	 023.tif	 010.tif	 23	 10	 i	 0	 1.365214e+03
BMI_bf_105	 41	 1.405287e+02	 119.tif	 108.tif	 49	 38	 i	 0	 7.371954e+02
BMI_bf_105	 42	 1.440287e+02	 106.tif	 113.tif	 36	 43	 i	 0	 1.612948e+03
BMI_bf_105	 43	 1.475285e+02	 107.tif	 024.tif	 37	 24	 i	 0	 1.592898e+03
BMI_bf_105	 44	 1.510285e+02	 008.tif	 129.tif	 8	 59	 i	 0	 1.164738e+03
BMI_bf_105	 45	 1.545283e+02	 005.tif	 012.tif	 5	 12	 i	 0	 1.288609e+03
BMI_bf_105	 46	 1.580282e+02	 004.tif	 121.tif	 4	 51	 i	 0	 9.085126e+02
BMI_bf_105	 47	 1.615281e+02	 019.tif	 006.tif	 19	 6	 i	 0	 1.072479e+03
BMI_bf_105	 48	 1.650280e+02	 127.tif	 112.tif	 57	 42	 i	 0	 1.148241e+03
BMI_bf_105	 49	 1.685279e+02	 118.tif	 128.tif	 48	 58	 i	 0	 9.442080e+02
BMI_bf_105	 50	 1.720278e+02	 129.tif	 005.tif	 59	 5	 u	 0	 6.840368e+02
BMI_bf_105	 51	 1.755276e+02	 129.tif	 111.tif	 59	 41	 u	 0	 7.519781e+02
BMI_bf_105	 52	 1.790276e+02	 008.tif	 006.tif	 8	 6	 u	 0	 1.099782e+03
BMI_bf_105	 53	 1.825274e+02	 030.tif	 129.tif	 30	 59	 i	 0	 6.797436e+02
BMI_bf_105	 54	 1.860274e+02	 003.tif	 017.tif	 3	 17	 u	 0	 1.611474e+03
BMI_bf_105	 55	 1.895272e+02	 111.tif	 121.tif	 41	 51	 u	 0	 1.903401e+03
