subjectID	 scanner	 order	 block	 run	 trial	 onsettime	 ImageLeft	 ImageRight	 bidIndexLeft	 bidIndexRight	 IsleftGo	 Response	 PairType	 Outcome	 RT	 bidLeft	 bidRight	 
BMI_bf_108	 0	 2	 02	 1	 1	 2.016587e+00	 013.tif	 021.tif	 44	 54	 0	 i	 2	 1	 990.90	 0.37	 0.22	 
BMI_bf_108	 0	 2	 02	 1	 2	 7.016779e+00	 016.tif	 103.tif	 48	 42	 1	 u	 2	 1	 814.43	 0.34	 0.41	 
BMI_bf_108	 0	 2	 02	 1	 3	 1.501659e+01	 028.tif	 108.tif	 24	 37	 1	 i	 4	 0	 1214.27	 0.58	 0.45	 
BMI_bf_108	 0	 2	 02	 1	 4	 1.801663e+01	 117.tif	 019.tif	 49	 50	 1	 x	 2	 999	 999000.00	 0.34	 0.28	 
BMI_bf_108	 0	 2	 02	 1	 5	 2.501648e+01	 110.tif	 005.tif	 46	 53	 1	 i	 2	 0	 653.92	 0.35	 0.22	 
BMI_bf_108	 0	 2	 02	 1	 6	 2.801652e+01	 016.tif	 025.tif	 48	 39	 1	 u	 2	 1	 1301.72	 0.34	 0.44	 
BMI_bf_108	 0	 2	 02	 1	 7	 3.901630e+01	 015.tif	 116.tif	 43	 45	 1	 i	 2	 0	 429.45	 0.37	 0.36	 
BMI_bf_108	 0	 2	 02	 1	 8	 4.301628e+01	 112.tif	 126.tif	 18	 14	 0	 i	 1	 1	 1061.25	 0.62	 0.68	 
BMI_bf_108	 0	 2	 02	 1	 9	 4.701615e+01	 129.tif	 126.tif	 10	 14	 0	 u	 1	 0	 581.21	 0.70	 0.68	 
BMI_bf_108	 0	 2	 02	 1	 10	 5.001624e+01	 103.tif	 026.tif	 42	 40	 0	 i	 2	 1	 932.97	 0.41	 0.42	 
BMI_bf_108	 0	 2	 02	 1	 11	 5.301608e+01	 023.tif	 112.tif	 16	 18	 1	 u	 1	 1	 932.96	 0.64	 0.62	 
BMI_bf_108	 0	 2	 02	 1	 12	 5.801615e+01	 129.tif	 017.tif	 10	 11	 0	 i	 1	 1	 628.70	 0.70	 0.70	 
BMI_bf_108	 0	 2	 02	 1	 13	 6.201602e+01	 011.tif	 106.tif	 7	 8	 0	 u	 1	 0	 796.62	 0.73	 0.72	 
BMI_bf_108	 0	 2	 02	 1	 14	 7.101598e+01	 116.tif	 117.tif	 45	 49	 0	 u	 2	 0	 836.23	 0.36	 0.34	 
BMI_bf_108	 0	 2	 02	 1	 15	 7.401588e+01	 104.tif	 128.tif	 23	 38	 1	 i	 3	 0	 980.18	 0.58	 0.44	 
BMI_bf_108	 0	 2	 02	 1	 16	 7.901589e+01	 007.tif	 012.tif	 19	 15	 1	 u	 1	 1	 915.93	 0.62	 0.65	 
BMI_bf_108	 0	 2	 02	 1	 17	 8.501576e+01	 004.tif	 129.tif	 17	 10	 1	 i	 1	 0	 1027.75	 0.63	 0.70	 
BMI_bf_108	 0	 2	 02	 1	 18	 8.801570e+01	 106.tif	 124.tif	 8	 12	 1	 u	 1	 1	 819.70	 0.72	 0.70	 
BMI_bf_108	 0	 2	 02	 1	 19	 9.301563e+01	 023.tif	 118.tif	 16	 20	 1	 u	 1	 1	 819.54	 0.64	 0.61	 
BMI_bf_108	 0	 2	 02	 1	 20	 9.701560e+01	 007.tif	 124.tif	 19	 12	 1	 u	 1	 1	 915.37	 0.62	 0.70	 
BMI_bf_108	 0	 2	 02	 1	 21	 1.020155e+02	 012.tif	 004.tif	 15	 17	 0	 i	 1	 1	 619.22	 0.65	 0.63	 
BMI_bf_108	 0	 2	 02	 1	 22	 1.070155e+02	 118.tif	 119.tif	 20	 22	 0	 i	 1	 1	 890.96	 0.61	 0.59	 
BMI_bf_108	 0	 2	 02	 1	 23	 1.100154e+02	 102.tif	 017.tif	 13	 11	 0	 i	 1	 1	 1314.91	 0.68	 0.70	 
BMI_bf_108	 0	 2	 02	 1	 24	 1.130155e+02	 012.tif	 020.tif	 15	 9	 0	 i	 1	 1	 1146.73	 0.65	 0.71	 
BMI_bf_108	 0	 2	 02	 1	 25	 1.250152e+02	 022.tif	 005.tif	 51	 53	 1	 u	 2	 1	 866.39	 0.25	 0.22	 
BMI_bf_108	 0	 2	 02	 1	 26	 1.290153e+02	 117.tif	 013.tif	 49	 44	 1	 u	 2	 1	 914.18	 0.34	 0.37	 
BMI_bf_108	 0	 2	 02	 1	 27	 1.320152e+02	 110.tif	 001.tif	 46	 52	 1	 i	 2	 0	 1378.10	 0.35	 0.24	 
BMI_bf_108	 0	 2	 02	 1	 28	 1.390151e+02	 026.tif	 025.tif	 40	 39	 1	 u	 2	 1	 881.85	 0.42	 0.44	 
BMI_bf_108	 0	 2	 02	 1	 29	 1.420149e+02	 118.tif	 004.tif	 20	 17	 0	 i	 1	 1	 1169.87	 0.61	 0.63	 
BMI_bf_108	 0	 2	 02	 1	 30	 1.490151e+02	 010.tif	 021.tif	 47	 54	 0	 i	 2	 1	 737.43	 0.35	 0.22	 
BMI_bf_108	 0	 2	 02	 1	 31	 1.540149e+02	 010.tif	 111.tif	 47	 41	 0	 i	 2	 1	 1369.36	 0.35	 0.42	 
BMI_bf_108	 0	 2	 02	 1	 32	 1.580149e+02	 021.tif	 103.tif	 54	 42	 1	 i	 2	 0	 1345.15	 0.22	 0.41	 
BMI_bf_108	 0	 2	 02	 1	 33	 1.630148e+02	 103.tif	 015.tif	 42	 43	 0	 i	 2	 1	 1385.04	 0.41	 0.37	 
BMI_bf_108	 0	 2	 02	 1	 34	 1.690148e+02	 015.tif	 013.tif	 43	 44	 1	 u	 2	 1	 1168.77	 0.37	 0.37	 
BMI_bf_108	 0	 2	 02	 1	 35	 1.730146e+02	 022.tif	 001.tif	 51	 52	 1	 u	 2	 1	 1272.69	 0.25	 0.24	 
BMI_bf_108	 0	 2	 02	 1	 36	 1.760147e+02	 124.tif	 017.tif	 12	 11	 0	 i	 1	 1	 1200.52	 0.70	 0.70	 
BMI_bf_108	 0	 2	 02	 1	 37	 1.790146e+02	 026.tif	 005.tif	 40	 53	 1	 u	 2	 1	 1312.49	 0.42	 0.22	 
BMI_bf_108	 0	 2	 02	 1	 38	 1.820146e+02	 030.tif	 113.tif	 36	 25	 0	 x	 4	 999	 999000.00	 0.46	 0.57	 
BMI_bf_108	 0	 2	 02	 1	 39	 1.860145e+02	 123.tif	 115.tif	 35	 26	 0	 i	 3	 1	 1040.25	 0.46	 0.56	 
BMI_bf_108	 0	 2	 02	 1	 40	 1.900145e+02	 106.tif	 129.tif	 8	 10	 1	 u	 1	 1	 1312.05	 0.72	 0.70	 
BMI_bf_108	 0	 2	 02	 1	 41	 1.960143e+02	 005.tif	 021.tif	 53	 54	 0	 x	 2	 999	 999000.00	 0.22	 0.22	 
