subjectID	 order	 stimName	 itemIndABC	 bidInd	 runtrial	 isOld?	 subjectAnswerIsOld	 isBeep?	 subjectAnswerIsBeep	 onsettime	 resp_choice	 RT
BMI_bf_112	 2	 015.tif	 10	 18	 1	 1	 1	 0	 0	 3.319124e-02	 u	 4.841873e+00 
BMI_bf_112	 2	 019.tif	 13	 50	 2	 1	 1	 0	 0	 5.916237e+00	 u	 1.846625e+00 
BMI_bf_112	 2	 125.tif	 37	 37	 3	 1	 1	 0	 0	 8.816316e+00	 u	 9.384267e-01 
BMI_bf_112	 2	 028.tif	 21	 13	 4	 1	 1	 0	 0	 1.079959e+01	 u	 1.907037e+00 
BMI_bf_112	 2	 108.tif	 28	 20	 5	 1	 1	 0	 0	 1.374954e+01	 u	 8.129549e-01 
BMI_bf_112	 2	 122.tif	 34	 7	 6	 1	 1	 0	 0	 1.561616e+01	 u	 7.542544e-01 
BMI_bf_112	 2	 120.tif	 33	 36	 7	 1	 1	 0	 0	 1.741613e+01	 u	 7.621814e-01 
BMI_bf_112	 2	 003.tif	 2	 53	 8	 1	 1	 0	 0	 1.923275e+01	 u	 1.073438e+00 
BMI_bf_112	 2	 026.tif	 19	 12	 9	 1	 1	 0	 0	 2.134938e+01	 u	 6.687146e-01 
BMI_bf_112	 2	 013.tif	 8	 48	 10	 1	 1	 1	 1	 2.306600e+01	 i	 6.800007e-01 
BMI_bf_112	 2	 009.tif	 6	 38	 11	 1	 1	 1	 0	 2.479930e+01	 u	 4.906360e+00 
BMI_bf_112	 2	 114.tif	 29	 21	 12	 1	 1	 0	 0	 3.074917e+01	 u	 7.963815e-01 
BMI_bf_112	 2	 126.tif	 38	 14	 13	 1	 1	 1	 1	 3.259914e+01	 i	 6.023173e-01 
BMI_bf_112	 2	 123.tif	 35	 8	 14	 1	 1	 1	 0	 3.424917e+01	 u	 9.121757e-01 
BMI_bf_112	 2	 017.tif	 12	 25	 15	 1	 1	 0	 0	 3.621574e+01	 u	 8.015016e-01 
BMI_bf_112	 2	 007.tif	 5	 52	 16	 1	 1	 0	 0	 3.806571e+01	 u	 7.194259e-01 
BMI_bf_112	 2	 128.tif	 39	 26	 17	 1	 1	 1	 1	 3.983232e+01	 i	 7.607177e-01 
BMI_bf_112	 2	 021.tif	 15	 41	 18	 1	 1	 1	 0	 4.163227e+01	 u	 1.568623e+00 
BMI_bf_112	 2	 118.tif	 31	 10	 19	 1	 1	 0	 0	 4.424889e+01	 u	 9.438903e-01 
BMI_bf_112	 2	 130.tif	 40	 15	 20	 1	 1	 0	 0	 4.623218e+01	 u	 1.192481e+00 
BMI_bf_112	 2	 014.tif	 9	 47	 21	 1	 1	 0	 0	 4.846549e+01	 u	 7.830672e-01 
BMI_bf_112	 2	 116.tif	 30	 9	 22	 1	 1	 1	 1	 5.029874e+01	 i	 2.237603e+00 
BMI_bf_112	 2	 105.tif	 26	 43	 23	 1	 1	 1	 1	 5.358203e+01	 i	 7.382306e-01 
BMI_bf_112	 2	 010.tif	 7	 46	 24	 1	 1	 1	 1	 5.536531e+01	 i	 7.868449e-01 
BMI_bf_112	 2	 016.tif	 11	 40	 25	 1	 1	 1	 1	 5.719861e+01	 i	 1.121423e+00 
BMI_bf_112	 2	 124.tif	 36	 45	 26	 1	 1	 0	 0	 5.936522e+01	 u	 7.947086e-01 
BMI_bf_112	 2	 025.tif	 18	 42	 27	 1	 1	 0	 0	 6.121513e+01	 u	 8.407006e-01 
BMI_bf_112	 2	 022.tif	 16	 17	 28	 1	 1	 1	 0	 6.309847e+01	 u	 2.893121e+00 
BMI_bf_112	 2	 030.tif	 22	 39	 29	 1	 1	 0	 0	 6.703174e+01	 u	 5.997678e-01 
BMI_bf_112	 2	 006.tif	 4	 54	 30	 1	 1	 1	 1	 6.868164e+01	 i	 9.817802e-01 
BMI_bf_112	 2	 004.tif	 3	 11	 31	 1	 1	 1	 1	 7.071499e+01	 i	 6.923164e-01 
BMI_bf_112	 2	 103.tif	 24	 19	 32	 1	 1	 1	 0	 7.244828e+01	 u	 8.949077e-01 
BMI_bf_112	 2	 101.tif	 23	 44	 33	 1	 1	 0	 0	 7.439825e+01	 u	 6.008457e-01 
BMI_bf_112	 2	 027.tif	 20	 24	 34	 1	 1	 0	 0	 7.604820e+01	 u	 7.907853e-01 
BMI_bf_112	 2	 104.tif	 25	 16	 35	 1	 1	 1	 1	 7.788147e+01	 i	 8.293907e-01 
BMI_bf_112	 2	 002.tif	 1	 49	 36	 1	 1	 1	 1	 7.976479e+01	 i	 9.779720e-01 
BMI_bf_112	 2	 020.tif	 14	 51	 37	 1	 1	 1	 1	 8.179809e+01	 i	 8.245613e-01 
BMI_bf_112	 2	 023.tif	 17	 23	 38	 1	 1	 1	 1	 8.366471e+01	 i	 5.898518e-01 
BMI_bf_112	 2	 119.tif	 32	 35	 39	 1	 1	 1	 0	 8.529802e+01	 u	 1.060414e+00 
BMI_bf_112	 2	 106.tif	 27	 22	 40	 1	 1	 1	 0	 8.739797e+01	 u	 6.644010e-01 
