subjectID	 scanner	 order	 block	 run	 trial	 onsettime	 ImageLeft	 ImageRight	 bidIndexLeft	 bidIndexRight	 IsleftGo	 Response	 PairType	 Outcome	 RT	 bidLeft	 bidRight	 
BMI_bf_126	 0	 2	 02	 2	 1	 2.033469e+00	 107.tif	 029.tif	 52	 49	 0	 i	 2	 1	 1138.84	 0.24	 0.25	 
BMI_bf_126	 0	 2	 02	 2	 2	 7.033403e+00	 108.tif	 011.tif	 7	 17	 0	 u	 1	 0	 746.72	 0.72	 0.67	 
BMI_bf_126	 0	 2	 02	 2	 3	 1.503337e+01	 116.tif	 029.tif	 53	 49	 0	 i	 2	 1	 770.38	 0.23	 0.25	 
BMI_bf_126	 0	 2	 02	 2	 4	 1.803326e+01	 008.tif	 116.tif	 41	 53	 1	 u	 2	 1	 810.35	 0.37	 0.23	 
BMI_bf_126	 0	 2	 02	 2	 5	 2.503325e+01	 108.tif	 127.tif	 7	 9	 0	 u	 1	 0	 802.02	 0.72	 0.71	 
BMI_bf_126	 0	 2	 02	 2	 6	 2.803315e+01	 101.tif	 109.tif	 18	 8	 0	 i	 1	 1	 657.99	 0.67	 0.72	 
BMI_bf_126	 0	 2	 02	 2	 7	 3.903307e+01	 009.tif	 117.tif	 46	 44	 1	 u	 2	 1	 793.53	 0.32	 0.34	 
BMI_bf_126	 0	 2	 02	 2	 8	 4.303296e+01	 009.tif	 118.tif	 46	 39	 1	 i	 2	 0	 769.46	 0.32	 0.40	 
BMI_bf_126	 0	 2	 02	 2	 9	 4.703299e+01	 015.tif	 014.tif	 37	 25	 0	 i	 4	 1	 681.25	 0.40	 0.63	 
BMI_bf_126	 0	 2	 02	 2	 10	 5.003280e+01	 008.tif	 107.tif	 41	 52	 1	 u	 2	 1	 761.26	 0.37	 0.24	 
BMI_bf_126	 0	 2	 02	 2	 11	 5.303291e+01	 028.tif	 016.tif	 21	 19	 0	 u	 1	 0	 785.03	 0.65	 0.66	 
BMI_bf_126	 0	 2	 02	 2	 12	 5.803278e+01	 118.tif	 025.tif	 39	 54	 0	 i	 2	 1	 776.95	 0.40	 0.23	 
BMI_bf_126	 0	 2	 02	 2	 13	 6.203281e+01	 117.tif	 018.tif	 44	 40	 0	 i	 2	 1	 632.72	 0.34	 0.38	 
BMI_bf_126	 0	 2	 02	 2	 14	 7.103262e+01	 016.tif	 101.tif	 19	 18	 1	 i	 1	 0	 1360.43	 0.66	 0.67	 
BMI_bf_126	 0	 2	 02	 2	 15	 7.403266e+01	 006.tif	 008.tif	 50	 41	 0	 i	 2	 1	 1144.27	 0.25	 0.37	 
BMI_bf_126	 0	 2	 02	 2	 16	 7.903253e+01	 013.tif	 020.tif	 14	 12	 1	 i	 1	 0	 1408.15	 0.69	 0.70	 
BMI_bf_126	 0	 2	 02	 2	 17	 8.503252e+01	 011.tif	 010.tif	 17	 13	 1	 i	 1	 0	 911.90	 0.67	 0.69	 
BMI_bf_126	 0	 2	 02	 2	 18	 8.803242e+01	 002.tif	 111.tif	 15	 22	 0	 i	 1	 1	 927.85	 0.68	 0.65	 
BMI_bf_126	 0	 2	 02	 2	 19	 9.303243e+01	 027.tif	 107.tif	 48	 52	 1	 u	 2	 1	 791.64	 0.27	 0.24	 
BMI_bf_126	 0	 2	 02	 2	 20	 9.703230e+01	 129.tif	 116.tif	 43	 53	 1	 u	 2	 1	 799.56	 0.34	 0.23	 
BMI_bf_126	 0	 2	 02	 2	 21	 1.020323e+02	 006.tif	 129.tif	 50	 43	 0	 i	 2	 1	 607.30	 0.25	 0.34	 
BMI_bf_126	 0	 2	 02	 2	 22	 1.070322e+02	 122.tif	 009.tif	 42	 46	 0	 i	 2	 1	 1055.18	 0.36	 0.32	 
BMI_bf_126	 0	 2	 02	 2	 23	 1.100322e+02	 018.tif	 006.tif	 40	 50	 1	 u	 2	 1	 655.02	 0.38	 0.25	 
BMI_bf_126	 0	 2	 02	 2	 24	 1.130321e+02	 020.tif	 127.tif	 12	 9	 0	 i	 1	 1	 638.94	 0.70	 0.71	 
