subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BMI_bf_132	 2	 8	 118.tif	 1.334057e+03	 12	 999000	 120	 999000	 999	 1.335074e+03	 383.33	 316.67	 6.00	 48	 0.83	 
BMI_bf_132	 2	 8	 108.tif	 1.337058e+03	 11	 1.041169e+03	 1100	 4.261094e+02	 98	 1.338074e+03	 333.33	 316.67	 19.00	 38	 0.63	 
BMI_bf_132	 2	 8	 020.tif	 1.341058e+03	 12	 999000	 120	 999000	 999	 1.342074e+03	 333.33	 316.67	 15.00	 20	 0.69	 
BMI_bf_132	 2	 8	 022.tif	 1.343058e+03	 11	 9.929775e+02	 110	 3.766814e+02	 98	 1.344074e+03	 350.00	 316.67	 16.00	 22	 0.68	 
BMI_bf_132	 2	 8	 009.tif	 1.345058e+03	 11	 1.000899e+03	 1100	 3.928360e+02	 98	 1.346074e+03	 300.00	 316.67	 11.00	 9	 0.74	 
BMI_bf_132	 2	 8	 003.tif	 1.349057e+03	 12	 999000	 120	 999000	 999	 1.350074e+03	 300.00	 316.67	 27.00	 3	 0.51	 
BMI_bf_132	 2	 8	 018.tif	 1.351057e+03	 24	 999000	 240	 999000	 999	 1.352074e+03	 300.00	 316.67	 36.00	 18	 0.43	 
BMI_bf_132	 2	 8	 021.tif	 1.356057e+03	 22	 9.287872e+02	 220	 3.567892e+02	 98	 1.357074e+03	 300.00	 333.33	 41.00	 21	 0.36	 
BMI_bf_132	 2	 8	 026.tif	 1.358057e+03	 12	 999000	 120	 999000	 999	 1.359074e+03	 300.00	 333.33	 10.00	 26	 0.75	 
BMI_bf_132	 2	 8	 001.tif	 1.361057e+03	 24	 999000	 240	 999000	 999	 1.362074e+03	 300.00	 333.33	 32.00	 1	 0.44	 
BMI_bf_132	 2	 8	 023.tif	 1.364057e+03	 12	 999000	 120	 999000	 999	 1.365074e+03	 300.00	 333.33	 5.00	 23	 0.83	 
BMI_bf_132	 2	 8	 030.tif	 1.368057e+03	 22	 1.000167e+03	 2200	 3.763234e+02	 98	 1.369074e+03	 300.00	 283.33	 38.00	 30	 0.38	 
BMI_bf_132	 2	 8	 027.tif	 1.371057e+03	 24	 999000	 240	 999000	 999	 1.372074e+03	 300.00	 283.33	 39.00	 27	 0.38	 
BMI_bf_132	 2	 8	 119.tif	 1.373057e+03	 22	 8.959035e+02	 220	 3.258363e+02	 98	 1.374074e+03	 300.00	 300.00	 48.00	 49	 0.31	 
BMI_bf_132	 2	 8	 125.tif	 1.376057e+03	 24	 999000	 240	 999000	 999	 1.377074e+03	 300.00	 300.00	 60.00	 55	 0.13	 
BMI_bf_132	 2	 8	 102.tif	 1.380057e+03	 24	 999000	 240	 999000	 999	 1.381073e+03	 300.00	 300.00	 37.00	 32	 0.41	 
BMI_bf_132	 2	 8	 014.tif	 1.383057e+03	 11	 9.675199e+02	 110	 3.433323e+02	 98	 1.384074e+03	 316.67	 300.00	 14.00	 14	 0.69	 
BMI_bf_132	 2	 8	 110.tif	 1.385057e+03	 24	 999000	 240	 999000	 999	 1.386073e+03	 316.67	 300.00	 44.00	 40	 0.35	 
BMI_bf_132	 2	 8	 104.tif	 1.387057e+03	 24	 999000	 240	 999000	 999	 1.388073e+03	 316.67	 300.00	 58.00	 34	 0.19	 
BMI_bf_132	 2	 8	 010.tif	 1.392057e+03	 24	 999000	 240	 999000	 999	 1.393073e+03	 316.67	 300.00	 31.00	 10	 0.48	 
BMI_bf_132	 2	 8	 017.tif	 1.396057e+03	 12	 999000	 120	 999000	 999	 1.397073e+03	 316.67	 300.00	 2.00	 17	 0.86	 
BMI_bf_132	 2	 8	 024.tif	 1.400057e+03	 12	 999000	 120	 999000	 999	 1.401073e+03	 316.67	 300.00	 28.00	 24	 0.50	 
BMI_bf_132	 2	 8	 121.tif	 1.406057e+03	 11	 9.827267e+02	 110	 3.595485e+02	 98	 1.407073e+03	 333.33	 300.00	 26.00	 51	 0.51	 
BMI_bf_132	 2	 8	 122.tif	 1.408057e+03	 11	 9.746734e+02	 110	 3.769042e+02	 98	 1.409073e+03	 350.00	 300.00	 9.00	 52	 0.76	 
BMI_bf_132	 2	 8	 116.tif	 1.410057e+03	 12	 999000	 120	 999000	 999	 1.411073e+03	 350.00	 300.00	 25.00	 46	 0.52	 
BMI_bf_132	 2	 8	 107.tif	 1.412057e+03	 24	 999000	 240	 999000	 999	 1.413073e+03	 350.00	 300.00	 50.00	 37	 0.30	 
BMI_bf_132	 2	 8	 130.tif	 1.414057e+03	 22	 1.030491e+03	 2200	 3.418432e+02	 98	 1.415073e+03	 350.00	 250.00	 43.00	 60	 0.35	 
BMI_bf_132	 2	 8	 113.tif	 1.418057e+03	 24	 999000	 240	 999000	 999	 1.419073e+03	 350.00	 250.00	 45.00	 43	 0.34	 
BMI_bf_132	 2	 8	 028.tif	 1.420057e+03	 11	 9.902638e+02	 110	 3.927527e+02	 98	 1.421073e+03	 366.67	 250.00	 8.00	 28	 0.78	 
