subjid	 runtrial	 onsettime	 ImageLeft	 ImageRight	 StimNumLeft	 StimNumRight	 Response	 Outcome	 RT
BMI_bf_134	 1	 5.328570e-01	 019.tif	 004.tif	 19	 4	 u	 0	 1.175216e+03
BMI_bf_134	 2	 4.032942e+00	 004.tif	 002.tif	 4	 2	 u	 0	 8.669713e+02
BMI_bf_134	 3	 7.532903e+00	 002.tif	 018.tif	 2	 18	 i	 0	 1.126765e+03
BMI_bf_134	 4	 1.103275e+01	 121.tif	 018.tif	 51	 18	 u	 0	 9.627437e+02
BMI_bf_134	 5	 1.453279e+01	 127.tif	 002.tif	 57	 2	 u	 0	 1.422505e+03
BMI_bf_134	 6	 1.803270e+01	 118.tif	 125.tif	 48	 55	 u	 0	 9.705102e+02
BMI_bf_134	 7	 2.153263e+01	 103.tif	 029.tif	 33	 29	 u	 0	 7.663945e+02
BMI_bf_134	 8	 2.503266e+01	 101.tif	 124.tif	 31	 54	 i	 0	 1.506158e+03
BMI_bf_134	 9	 2.853261e+01	 012.tif	 026.tif	 12	 26	 x	 999	 999000
BMI_bf_134	 10	 3.203255e+01	 126.tif	 115.tif	 56	 45	 u	 0	 1.017914e+03
BMI_bf_134	 11	 3.553251e+01	 008.tif	 101.tif	 8	 31	 i	 0	 8.457848e+02
BMI_bf_134	 12	 3.903246e+01	 008.tif	 023.tif	 8	 23	 u	 0	 1.697621e+03
BMI_bf_134	 13	 4.253238e+01	 113.tif	 030.tif	 43	 30	 u	 0	 1.293554e+03
BMI_bf_134	 14	 4.603236e+01	 129.tif	 010.tif	 59	 10	 u	 0	 1.089419e+03
BMI_bf_134	 15	 4.953231e+01	 012.tif	 117.tif	 12	 47	 i	 0	 1.413265e+03
BMI_bf_134	 16	 5.303228e+01	 023.tif	 111.tif	 23	 41	 i	 0	 1.201127e+03
BMI_bf_134	 17	 5.653221e+01	 027.tif	 006.tif	 27	 6	 u	 0	 1.397010e+03
BMI_bf_134	 18	 6.003216e+01	 126.tif	 022.tif	 56	 22	 u	 0	 1.056911e+03
BMI_bf_134	 19	 6.353210e+01	 117.tif	 001.tif	 47	 1	 i	 0	 2.156731e+03
BMI_bf_134	 20	 6.703205e+01	 109.tif	 101.tif	 39	 31	 u	 0	 2.224601e+03
BMI_bf_134	 21	 7.053201e+01	 105.tif	 126.tif	 35	 56	 i	 0	 9.565348e+02
BMI_bf_134	 22	 7.403196e+01	 005.tif	 013.tif	 5	 13	 i	 0	 1.232387e+03
BMI_bf_134	 23	 7.753190e+01	 129.tif	 026.tif	 59	 26	 u	 0	 1.276268e+03
BMI_bf_134	 24	 8.103186e+01	 117.tif	 109.tif	 47	 39	 i	 0	 1.144139e+03
BMI_bf_134	 25	 8.453181e+01	 024.tif	 030.tif	 24	 30	 u	 0	 1.755981e+03
BMI_bf_134	 26	 8.803176e+01	 118.tif	 028.tif	 48	 28	 u	 0	 1.767867e+03
BMI_bf_134	 27	 9.153169e+01	 120.tif	 115.tif	 50	 45	 i	 0	 1.035780e+03
BMI_bf_134	 28	 9.503160e+01	 002.tif	 104.tif	 2	 34	 i	 0	 9.916992e+02
BMI_bf_134	 29	 9.853159e+01	 130.tif	 115.tif	 60	 45	 u	 0	 1.579496e+03
BMI_bf_134	 30	 1.020316e+02	 124.tif	 009.tif	 54	 9	 u	 0	 9.593946e+02
BMI_bf_134	 31	 1.055315e+02	 112.tif	 002.tif	 42	 2	 i	 0	 1.507255e+03
BMI_bf_134	 32	 1.090314e+02	 122.tif	 011.tif	 52	 11	 i	 0	 1.167125e+03
BMI_bf_134	 33	 1.125314e+02	 013.tif	 103.tif	 13	 33	 u	 0	 2.098954e+03
BMI_bf_134	 34	 1.160313e+02	 016.tif	 010.tif	 16	 10	 i	 0	 1.286860e+03
BMI_bf_134	 35	 1.195313e+02	 103.tif	 106.tif	 33	 36	 u	 0	 1.298742e+03
BMI_bf_134	 36	 1.230312e+02	 118.tif	 110.tif	 48	 40	 i	 0	 1.102636e+03
BMI_bf_134	 37	 1.265312e+02	 117.tif	 009.tif	 47	 9	 u	 0	 1.538490e+03
BMI_bf_134	 38	 1.300311e+02	 023.tif	 106.tif	 23	 36	 i	 0	 1.086392e+03
BMI_bf_134	 39	 1.335311e+02	 124.tif	 113.tif	 54	 43	 i	 0	 1.634218e+03
BMI_bf_134	 40	 1.370310e+02	 109.tif	 014.tif	 39	 14	 u	 0	 1.478104e+03
BMI_bf_134	 41	 1.405310e+02	 005.tif	 002.tif	 5	 2	 i	 0	 1.289976e+03
