subjectID	 order	 stimName	 itemIndABC	 bidInd	 runtrial	 isOld?	 subjectAnswerIsOld	 isBeep?	 subjectAnswerIsBeep	 onsettime	 resp_choice	 RT
BMI_bf_134	 2	 028.tif	 19	 45	 1	 1	 1	 0	 0	 2.011850e-02	 u	 9.952479e-01 
BMI_bf_134	 2	 019.tif	 13	 41	 2	 1	 1	 1	 1	 2.070217e+00	 i	 6.330265e-01 
BMI_bf_134	 2	 016.tif	 10	 46	 3	 1	 1	 1	 1	 3.753564e+00	 i	 4.855646e-01 
BMI_bf_134	 2	 030.tif	 21	 26	 4	 1	 1	 1	 1	 5.286839e+00	 i	 9.601560e-01 
BMI_bf_134	 2	 110.tif	 28	 18	 5	 1	 1	 0	 0	 7.286786e+00	 u	 7.200700e-01 
BMI_bf_134	 2	 123.tif	 34	 16	 6	 1	 1	 1	 0	 9.053315e+00	 u	 8.414339e-01 
BMI_bf_134	 2	 119.tif	 33	 15	 7	 1	 1	 0	 0	 1.093654e+01	 u	 5.421047e-01 
BMI_bf_134	 2	 003.tif	 2	 43	 8	 1	 1	 1	 0	 1.251993e+01	 u	 5.985841e-01 
BMI_bf_134	 2	 113.tif	 29	 8	 9	 1	 1	 1	 0	 1.416988e+01	 u	 6.285279e-01 
BMI_bf_134	 2	 014.tif	 8	 21	 10	 1	 1	 0	 0	 1.585316e+01	 u	 9.211149e-01 
BMI_bf_134	 2	 010.tif	 6	 12	 11	 1	 1	 0	 0	 1.781977e+01	 u	 7.943780e-01 
BMI_bf_134	 2	 007.tif	 4	 54	 12	 1	 1	 1	 1	 1.965305e+01	 i	 6.809776e-01 
BMI_bf_134	 2	 128.tif	 38	 53	 13	 1	 1	 0	 0	 2.138632e+01	 u	 6.755443e-01 
BMI_bf_134	 2	 124.tif	 35	 19	 14	 1	 1	 1	 0	 2.310292e+01	 u	 8.228588e-01 
BMI_bf_134	 2	 018.tif	 12	 14	 15	 1	 1	 1	 0	 2.496954e+01	 u	 1.620060e+00 
BMI_bf_134	 2	 008.tif	 5	 50	 16	 1	 1	 0	 0	 2.763610e+01	 u	 9.613673e-01 
BMI_bf_134	 2	 129.tif	 39	 22	 17	 1	 1	 1	 0	 2.965272e+01	 u	 6.886229e-01 
BMI_bf_134	 2	 021.tif	 15	 17	 18	 1	 1	 1	 0	 3.138599e+01	 u	 8.992255e-01 
BMI_bf_134	 2	 116.tif	 31	 39	 19	 1	 1	 0	 0	 3.333596e+01	 u	 5.891443e-01 
BMI_bf_134	 2	 130.tif	 40	 13	 20	 1	 1	 0	 0	 3.496922e+01	 u	 7.877635e-01 
BMI_bf_134	 2	 115.tif	 30	 24	 21	 1	 1	 0	 0	 3.680249e+01	 u	 7.783666e-01 
BMI_bf_134	 2	 126.tif	 37	 10	 22	 1	 1	 0	 0	 3.863577e+01	 u	 8.649519e-01 
BMI_bf_134	 2	 107.tif	 26	 36	 23	 1	 1	 0	 0	 4.055236e+01	 u	 8.362384e-01 
BMI_bf_134	 2	 017.tif	 11	 47	 24	 1	 1	 0	 0	 4.243563e+01	 u	 7.768374e-01 
BMI_bf_134	 2	 103.tif	 23	 23	 25	 1	 1	 1	 0	 4.425224e+01	 u	 6.321164e-01 
BMI_bf_134	 2	 027.tif	 18	 51	 26	 1	 1	 1	 0	 4.593551e+01	 u	 2.588589e+00 
BMI_bf_134	 2	 024.tif	 16	 42	 27	 1	 1	 0	 1	 4.956875e+01	 i	 5.952405e-01 
BMI_bf_134	 2	 101.tif	 22	 37	 28	 1	 1	 0	 0	 5.121880e+01	 u	 6.330823e-01 
BMI_bf_134	 2	 025.tif	 17	 35	 29	 1	 1	 1	 1	 5.290198e+01	 i	 2.709645e+00 
BMI_bf_134	 2	 004.tif	 3	 44	 30	 1	 1	 0	 0	 5.665183e+01	 u	 6.876745e-01 
BMI_bf_134	 2	 104.tif	 24	 11	 31	 1	 1	 1	 0	 5.838512e+01	 u	 7.062635e-01 
BMI_bf_134	 2	 015.tif	 9	 49	 32	 1	 1	 1	 1	 6.013505e+01	 i	 6.362137e-01 
BMI_bf_134	 2	 029.tif	 20	 40	 33	 1	 1	 1	 0	 6.181834e+01	 u	 7.368062e-01 
BMI_bf_134	 2	 106.tif	 25	 7	 34	 1	 1	 0	 0	 6.360160e+01	 u	 1.809332e+00 
BMI_bf_134	 2	 001.tif	 1	 20	 35	 1	 1	 0	 0	 6.645152e+01	 u	 9.912879e-01 
BMI_bf_134	 2	 012.tif	 7	 38	 36	 1	 1	 1	 0	 6.848471e+01	 u	 2.949823e+00 
BMI_bf_134	 2	 020.tif	 14	 25	 37	 1	 1	 0	 0	 7.248466e+01	 u	 7.737567e-01 
BMI_bf_134	 2	 118.tif	 32	 48	 38	 1	 1	 1	 1	 7.430127e+01	 i	 9.969987e-01 
BMI_bf_134	 2	 109.tif	 27	 9	 39	 1	 1	 1	 1	 7.635128e+01	 i	 6.108831e-01 
