StimNum	 Colley_original	 Colley_TiesRemoved	 Colley_TiesDuplicated	 Ranks_original	 Ranks_TiesRemoved	 Ranks_TiesDuplicated	 Wins	 Loses	 Total	 NoChoices
1	 1.551111e-01	 1.494752e-01	 1.431020e-01	 55	 55	 54	 1	 9	 10	 0
2	 6.880913e-01	 6.925189e-01	 6.719359e-01	 15	 15	 14	 7	 3	 10	 0
3	 4.389921e-01	 4.448245e-01	 4.224679e-01	 35	 35	 35	 5	 5	 10	 0
4	 5.006490e-01	 4.949018e-01	 4.884533e-01	 31	 31	 30	 5	 5	 10	 0
5	 1.338384e-01	 1.334297e-01	 1.139516e-01	 56	 56	 56	 1	 9	 10	 0
6	 3.021795e-01	 3.037401e-01	 2.872582e-01	 46	 46	 45	 3	 7	 10	 0
7	 2.810687e-01	 2.826227e-01	 2.659384e-01	 49	 49	 50	 2	 8	 10	 0
8	 2.939969e-01	 2.943601e-01	 2.824005e-01	 47	 47	 46	 3	 7	 10	 0
9	 5.472801e-01	 5.474720e-01	 5.360984e-01	 27	 27	 26	 6	 4	 10	 0
10	 4.315129e-01	 4.410601e-01	 3.810541e-01	 36	 36	 40	 4	 5	 9	 1
11	 3.704903e-01	 3.694964e-01	 3.584102e-01	 43	 43	 43	 3	 7	 10	 0
12	 5.235482e-01	 5.253971e-01	 5.077641e-01	 29	 29	 28	 6	 4	 10	 0
13	 5.665288e-01	 5.660090e-01	 5.557037e-01	 25	 25	 25	 6	 4	 10	 0
14	 6.375313e-01	 6.367990e-01	 6.273509e-01	 19	 19	 19	 7	 3	 10	 0
15	 3.770502e-01	 3.774424e-01	 3.609897e-01	 42	 42	 42	 3	 7	 10	 0
16	 3.799514e-01	 3.807168e-01	 3.642876e-01	 41	 41	 41	 3	 7	 10	 0
17	 9.661368e-02	 1.023656e-01	 7.982231e-02	 58	 58	 58	 0	 10	 10	 0
18	 5.771070e-01	 5.740440e-01	 5.618833e-01	 23	 24	 24	 5	 5	 10	 0
19	 3.409683e-01	 3.114934e-01	 2.736732e-01	 44	 45	 47	 3	 5	 8	 2
20	 9.472946e-01	 9.482206e-01	 9.327043e-01	 2	 2	 2	 10	 0	 10	 0
21	 4.205323e-01	 4.206997e-01	 4.088656e-01	 38	 38	 37	 5	 5	 10	 0
22	 2.293842e-01	 2.245366e-01	 2.178108e-01	 52	 52	 52	 1	 9	 10	 0
23	 5.201563e-01	 5.170532e-01	 5.044322e-01	 30	 30	 29	 5	 5	 10	 0
24	 4.262412e-01	 4.256052e-01	 4.098968e-01	 37	 37	 36	 4	 6	 10	 0
25	 5.761225e-01	 5.771246e-01	 5.640645e-01	 24	 23	 23	 6	 4	 10	 0
26	 7.535957e-01	 7.511988e-01	 7.365754e-01	 8	 10	 10	 9	 1	 10	 0
27	 2.847407e-01	 2.859398e-01	 2.715068e-01	 48	 48	 48	 2	 8	 10	 0
28	 2.806671e-01	 2.762409e-01	 2.677447e-01	 50	 50	 49	 2	 8	 10	 0
29	 6.136173e-01	 6.142006e-01	 6.021726e-01	 20	 21	 20	 8	 2	 10	 0
30	 3.321608e-01	 3.359104e-01	 3.082950e-01	 45	 44	 44	 1	 9	 10	 0
31	 7.516180e-01	 7.515193e-01	 7.398029e-01	 9	 9	 9	 7	 3	 10	 0
32	 8.335524e-01	 8.345216e-01	 8.207820e-01	 6	 6	 6	 9	 1	 10	 0
33	 4.942604e-01	 4.943905e-01	 4.842987e-01	 32	 32	 31	 4	 6	 10	 0
34	 7.100002e-01	 7.718079e-01	 6.417914e-01	 14	 8	 16	 8	 1	 9	 1
35	 1.829690e-01	 1.829284e-01	 1.722206e-01	 53	 53	 53	 1	 9	 10	 0
36	 7.515376e-01	 7.510622e-01	 7.406081e-01	 10	 11	 8	 9	 1	 10	 0
37	 9.381929e-02	 9.117843e-02	 7.848892e-02	 59	 59	 59	 0	 10	 10	 0
38	 8.545248e-01	 8.534840e-01	 8.437572e-01	 3	 3	 3	 9	 1	 10	 0
39	 7.314495e-01	 7.374830e-01	 7.118308e-01	 12	 12	 12	 7	 3	 10	 0
40	 4.111713e-01	 4.151652e-01	 3.947376e-01	 40	 39	 39	 4	 6	 10	 0
41	 4.140294e-01	 4.086784e-01	 4.016610e-01	 39	 40	 38	 4	 6	 10	 0
42	 2.523886e-01	 2.529928e-01	 2.404076e-01	 51	 51	 51	 1	 9	 10	 0
43	 8.133163e-01	 8.154040e-01	 7.982382e-01	 7	 7	 7	 8	 2	 10	 0
44	 6.701682e-01	 6.648525e-01	 6.566414e-01	 16	 16	 15	 8	 2	 10	 0
45	 5.358217e-01	 5.545527e-01	 4.770442e-01	 28	 26	 32	 5	 4	 9	 1
46	 6.124049e-01	 6.152530e-01	 5.940620e-01	 21	 20	 21	 7	 3	 10	 0
47	 1.656702e-01	 1.654577e-01	 1.419390e-01	 54	 54	 55	 1	 9	 10	 0
48	 8.382207e-01	 8.377811e-01	 8.252149e-01	 5	 5	 5	 9	 1	 10	 0
49	 5.479378e-01	 5.466614e-01	 5.277605e-01	 26	 28	 27	 6	 4	 10	 0
50	 6.011791e-02	 -1.790469e-03	 4.081455e-02	 60	 60	 60	 0	 9	 9	 1
51	 5.915298e-01	 5.923351e-01	 5.766320e-01	 22	 22	 22	 6	 4	 10	 0
52	 4.552131e-01	 4.552975e-01	 4.392000e-01	 34	 34	 34	 5	 5	 10	 0
53	 6.533109e-01	 6.545341e-01	 6.415735e-01	 17	 17	 17	 7	 3	 10	 0
54	 9.915112e-01	 9.917552e-01	 9.797400e-01	 1	 1	 1	 10	 0	 10	 0
55	 1.244400e-01	 1.241445e-01	 1.135854e-01	 57	 57	 57	 0	 10	 10	 0
56	 6.508083e-01	 6.524221e-01	 6.355222e-01	 18	 18	 18	 7	 3	 10	 0
57	 8.530055e-01	 8.533111e-01	 8.375371e-01	 4	 4	 4	 9	 1	 10	 0
58	 7.106681e-01	 7.103481e-01	 6.990667e-01	 13	 14	 13	 8	 2	 10	 0
59	 4.815447e-01	 4.817322e-01	 4.703895e-01	 33	 33	 33	 5	 5	 10	 0
60	 7.359682e-01	 7.358369e-01	 7.240126e-01	 11	 13	 11	 7	 3	 10	 0
