subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BMI_bfr_113	 1	 10	 110.jpg	 1.824482e+03	 12	 999000	 120	 999000	 999	 1.825500e+03	 683.33	 683.33	 6.00	 10	 0.80	 
BMI_bfr_113	 1	 10	 151.jpg	 1.827469e+03	 11	 1.005123e+03	 1100	 6.836762e+02	 98	 1.828506e+03	 633.33	 683.33	 20.00	 51	 0.66	 
BMI_bfr_113	 1	 10	 148.jpg	 1.829471e+03	 12	 999000	 120	 999000	 999	 1.830490e+03	 633.33	 683.33	 26.00	 48	 0.57	 
BMI_bfr_113	 1	 10	 140.jpg	 1.831474e+03	 12	 999000	 120	 999000	 999	 1.832492e+03	 633.33	 683.33	 27.00	 40	 0.56	 
BMI_bfr_113	 1	 10	 101.jpg	 1.833476e+03	 24	 999000	 240	 999000	 999	 1.834494e+03	 633.33	 683.33	 38.00	 1	 0.38	 
BMI_bfr_113	 1	 10	 127.jpg	 1.836479e+03	 22	 1.006801e+03	 2200	 6.836447e+02	 98	 1.837515e+03	 633.33	 633.33	 44.00	 27	 0.32	 
BMI_bfr_113	 1	 10	 158.jpg	 1.838482e+03	 24	 999000	 240	 999000	 999	 1.839500e+03	 633.33	 633.33	 40.00	 58	 0.36	 
BMI_bfr_113	 1	 10	 160.jpg	 1.842469e+03	 12	 999000	 120	 999000	 999	 1.843488e+03	 633.33	 633.33	 16.00	 60	 0.70	 
BMI_bfr_113	 1	 10	 108.jpg	 1.844471e+03	 12	 999000	 120	 999000	 999	 1.845489e+03	 633.33	 633.33	 2.00	 8	 0.85	 
BMI_bfr_113	 1	 10	 136.jpg	 1.849477e+03	 22	 8.568011e+02	 220	 6.336522e+02	 98	 1.850513e+03	 633.33	 650.00	 37.00	 36	 0.41	 
BMI_bfr_113	 1	 10	 107.jpg	 1.851479e+03	 12	 999000	 120	 999000	 999	 1.852498e+03	 633.33	 650.00	 8.00	 7	 0.79	 
BMI_bfr_113	 1	 10	 112.jpg	 1.855484e+03	 12	 999000	 120	 999000	 999	 1.856502e+03	 633.33	 650.00	 19.00	 12	 0.67	 
BMI_bfr_113	 1	 10	 130.jpg	 1.857469e+03	 11	 9.198752e+02	 110	 6.336339e+02	 98	 1.858506e+03	 650.00	 650.00	 25.00	 30	 0.57	 
BMI_bfr_113	 1	 10	 124.jpg	 1.860473e+03	 11	 8.641488e+02	 110	 6.503640e+02	 98	 1.861509e+03	 666.67	 650.00	 15.00	 24	 0.71	 
BMI_bfr_113	 1	 10	 113.jpg	 1.865478e+03	 11	 9.212747e+02	 110	 6.669844e+02	 98	 1.866513e+03	 683.33	 650.00	 24.00	 13	 0.59	 
BMI_bfr_113	 1	 10	 111.jpg	 1.867481e+03	 11	 9.892147e+02	 110	 6.836253e+02	 98	 1.868516e+03	 700.00	 650.00	 18.00	 11	 0.67	 
BMI_bfr_113	 1	 10	 142.jpg	 1.869483e+03	 11	 9.332816e+02	 110	 7.003009e+02	 98	 1.870519e+03	 716.67	 650.00	 5.00	 42	 0.80	 
BMI_bfr_113	 1	 10	 117.jpg	 1.873471e+03	 11	 9.507089e+02	 110	 7.170811e+02	 98	 1.874506e+03	 733.33	 650.00	 4.00	 17	 0.80	 
BMI_bfr_113	 1	 10	 149.jpg	 1.877475e+03	 11	 9.288678e+02	 110	 7.336494e+02	 98	 1.878510e+03	 750.00	 650.00	 12.00	 49	 0.74	 
BMI_bfr_113	 1	 10	 131.jpg	 1.881480e+03	 22	 8.732645e+02	 220	 6.503190e+02	 98	 1.882514e+03	 750.00	 666.67	 50.00	 31	 0.24	 
BMI_bfr_113	 1	 10	 120.jpg	 1.883482e+03	 12	 999000	 120	 999000	 999	 1.884501e+03	 750.00	 666.67	 3.00	 20	 0.85	 
BMI_bfr_113	 1	 10	 138.jpg	 1.885467e+03	 24	 999000	 240	 999000	 999	 1.886485e+03	 750.00	 666.67	 51.00	 38	 0.24	 
BMI_bfr_113	 1	 10	 106.jpg	 1.887470e+03	 12	 999000	 120	 999000	 999	 1.888489e+03	 750.00	 666.67	 1.00	 6	 0.89	 
BMI_bfr_113	 1	 10	 118.jpg	 1.889472e+03	 12	 999000	 120	 999000	 999	 1.890490e+03	 750.00	 666.67	 29.00	 18	 0.53	 
BMI_bfr_113	 1	 10	 137.jpg	 1.895479e+03	 22	 9.373414e+02	 220	 6.669733e+02	 98	 1.896515e+03	 750.00	 683.33	 36.00	 37	 0.43	 
BMI_bfr_113	 1	 10	 139.jpg	 1.898482e+03	 24	 999000	 240	 999000	 999	 1.899501e+03	 750.00	 683.33	 59.00	 39	 0.15	 
BMI_bfr_113	 1	 10	 132.jpg	 1.900467e+03	 24	 999000	 240	 999000	 999	 1.901485e+03	 750.00	 683.33	 33.00	 32	 0.47	 
BMI_bfr_113	 1	 10	 122.jpg	 1.902470e+03	 12	 999000	 120	 999000	 999	 1.903487e+03	 750.00	 683.33	 17.00	 22	 0.68	 
BMI_bfr_113	 1	 10	 114.jpg	 1.905473e+03	 12	 999000	 120	 999000	 999	 1.906492e+03	 750.00	 683.33	 11.00	 14	 0.75	 
BMI_bfr_113	 1	 10	 102.jpg	 1.907475e+03	 12	 999000	 120	 999000	 999	 1.908495e+03	 750.00	 683.33	 23.00	 2	 0.60	 
BMI_bfr_113	 1	 10	 135.jpg	 1.909478e+03	 24	 999000	 240	 999000	 999	 1.910495e+03	 750.00	 683.33	 43.00	 35	 0.33	 
BMI_bfr_113	 1	 10	 157.jpg	 1.911480e+03	 24	 999000	 240	 999000	 999	 1.912498e+03	 750.00	 683.33	 32.00	 57	 0.49	 
BMI_bfr_113	 1	 10	 141.jpg	 1.914466e+03	 24	 999000	 240	 999000	 999	 1.915484e+03	 750.00	 683.33	 60.00	 41	 0.09	 
BMI_bfr_113	 1	 10	 154.jpg	 1.916469e+03	 12	 999000	 120	 999000	 999	 1.917487e+03	 750.00	 683.33	 22.00	 54	 0.61	 
BMI_bfr_113	 1	 10	 119.jpg	 1.918471e+03	 24	 999000	 240	 999000	 999	 1.919489e+03	 750.00	 683.33	 41.00	 19	 0.36	 
BMI_bfr_113	 1	 10	 159.jpg	 1.920473e+03	 22	 9.528101e+02	 220	 6.836314e+02	 98	 1.921509e+03	 750.00	 700.00	 47.00	 59	 0.26	 
BMI_bfr_113	 1	 10	 128.jpg	 1.922475e+03	 24	 999000	 240	 999000	 999	 1.923493e+03	 750.00	 700.00	 46.00	 28	 0.28	 
BMI_bfr_113	 1	 10	 147.jpg	 1.928482e+03	 22	 9.765131e+02	 220	 7.002967e+02	 98	 1.929519e+03	 750.00	 716.67	 53.00	 47	 0.23	 
BMI_bfr_113	 1	 10	 123.jpg	 1.931469e+03	 11	 9.826911e+02	 110	 7.503140e+02	 98	 1.932505e+03	 766.67	 716.67	 10.00	 23	 0.76	 
BMI_bfr_113	 1	 10	 104.jpg	 1.935473e+03	 12	 999000	 120	 999000	 999	 1.936492e+03	 766.67	 716.67	 9.00	 4	 0.78	 
BMI_bfr_113	 1	 10	 144.jpg	 1.941480e+03	 24	 999000	 240	 999000	 999	 1.942498e+03	 766.67	 716.67	 54.00	 44	 0.21	 
BMI_bfr_113	 1	 10	 133.jpg	 1.943482e+03	 11	 1.052272e+03	 1100	 7.669670e+02	 98	 1.944517e+03	 716.67	 716.67	 13.00	 33	 0.74	 
BMI_bfr_113	 1	 10	 109.jpg	 1.948471e+03	 12	 999000	 120	 999000	 999	 1.949490e+03	 716.67	 716.67	 28.00	 9	 0.54	 
BMI_bfr_113	 1	 10	 150.jpg	 1.951475e+03	 22	 1.036567e+03	 2200	 7.169917e+02	 98	 1.952509e+03	 716.67	 666.67	 56.00	 50	 0.17	 
BMI_bfr_113	 1	 10	 146.jpg	 1.953477e+03	 24	 999000	 240	 999000	 999	 1.954495e+03	 716.67	 666.67	 48.00	 46	 0.25	 
BMI_bfr_113	 1	 10	 145.jpg	 1.956480e+03	 24	 999000	 240	 999000	 999	 1.957498e+03	 716.67	 666.67	 58.00	 45	 0.16	 
