subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
BMI_bfr_104	0	2	04	1	1	2.018478e+00	116.jpg	159.jpg	43	44	1	u	2	1	901.94	0.39	0.38
BMI_bfr_104	0	2	04	1	2	5.021837e+00	107.jpg	159.jpg	40	44	1	u	2	1	711.22	0.39	0.38
BMI_bfr_104	0	2	04	1	3	9.009650e+00	115.jpg	147.jpg	58	23	0	i	3	1	573.59	0.17	0.60
BMI_bfr_104	0	2	04	1	4	1.501636e+01	157.jpg	154.jpg	13	8	0	i	1	1	692.16	0.70	0.74
BMI_bfr_104	0	2	04	1	5	2.100641e+01	156.jpg	132.jpg	53	46	0	i	2	1	627.36	0.25	0.34
BMI_bfr_104	0	2	04	1	6	2.601202e+01	151.jpg	155.jpg	49	47	1	i	2	0	597.00	0.32	0.34
BMI_bfr_104	0	2	04	1	7	3.001649e+01	154.jpg	122.jpg	8	21	1	u	1	1	730.20	0.74	0.63
BMI_bfr_104	0	2	04	1	8	3.500541e+01	151.jpg	131.jpg	49	45	1	u	2	1	741.52	0.32	0.37
BMI_bfr_104	0	2	04	1	9	4.101213e+01	102.jpg	144.jpg	4	56	1	u	4	1	497.56	0.79	0.20
BMI_bfr_104	0	2	04	1	10	4.401551e+01	106.jpg	157.jpg	17	13	1	u	1	1	706.83	0.65	0.70
BMI_bfr_104	0	2	04	1	11	4.701886e+01	136.jpg	116.jpg	39	43	0	u	2	0	591.11	0.40	0.39
BMI_bfr_104	0	2	04	1	12	5.100666e+01	120.jpg	137.jpg	7	11	0	i	1	1	553.51	0.76	0.72
BMI_bfr_104	0	2	04	1	13	5.601227e+01	149.jpg	138.jpg	48	50	1	u	2	1	573.15	0.33	0.32
BMI_bfr_104	0	2	04	1	14	5.901563e+01	120.jpg	154.jpg	7	8	0	i	1	1	644.89	0.76	0.74
BMI_bfr_104	0	2	04	1	15	6.201899e+01	155.jpg	149.jpg	47	48	0	i	2	1	729.18	0.34	0.33
BMI_bfr_104	0	2	04	1	16	6.600678e+01	118.jpg	153.jpg	10	22	0	u	1	0	541.55	0.73	0.61
BMI_bfr_104	0	2	04	1	17	8.000579e+01	149.jpg	131.jpg	48	45	1	u	2	1	555.67	0.33	0.37
BMI_bfr_104	0	2	04	1	18	8.801476e+01	159.jpg	151.jpg	44	49	0	i	2	1	759.67	0.38	0.32
BMI_bfr_104	0	2	04	1	19	9.400480e+01	159.jpg	119.jpg	44	41	0	i	2	1	869.82	0.38	0.39
