subjectID	 scanner	 order	 block	 run	 trial	 onsettime	 ImageLeft	 ImageRight	 bidIndexLeft	 bidIndexRight	 IsleftGo	 Response	 PairType	 Outcome	 RT	 bidLeft	 bidRight	 
p_117	 0	 1	 01	 1	 1	 2.015708e+00	 8502.jpg	 7430.jpg	 39	 51	 1	 i	 2	 0	 815.19	 0.40	 0.28	 
p_117	 0	 1	 01	 1	 2	 7.009954e+00	 4606.jpg	 5829.jpg	 13	 9	 1	 u	 1	 1	 780.89	 0.73	 0.78	 
p_117	 0	 1	 01	 1	 3	 1.500876e+01	 7660.jpg	 8470.jpg	 48	 53	 0	 u	 2	 0	 678.05	 0.33	 0.22	 
p_117	 0	 1	 01	 1	 4	 1.801332e+01	 8280.jpg	 8350.jpg	 47	 49	 1	 i	 2	 0	 697.48	 0.34	 0.32	 
p_117	 0	 1	 01	 1	 5	 2.501061e+01	 7660.jpg	 2209.jpg	 48	 44	 0	 u	 2	 0	 788.14	 0.33	 0.35	 
p_117	 0	 1	 01	 1	 6	 2.801517e+01	 2352.1.jpg	 4610.jpg	 17	 18	 0	 u	 1	 0	 615.57	 0.63	 0.63	 
p_117	 0	 1	 01	 1	 7	 3.901853e+01	 1720.jpg	 5260.jpg	 7	 8	 1	 u	 1	 1	 548.12	 0.80	 0.80	 
p_117	 0	 1	 01	 1	 8	 4.301126e+01	 2155.jpg	 5829.jpg	 21	 9	 1	 i	 1	 0	 619.38	 0.61	 0.78	 
p_117	 0	 1	 01	 1	 9	 4.701734e+01	 5829.jpg	 2030.jpg	 9	 20	 0	 u	 1	 0	 613.27	 0.78	 0.61	 
p_117	 0	 1	 01	 1	 10	 5.002190e+01	 8496.jpg	 8380.jpg	 40	 50	 0	 u	 2	 0	 672.75	 0.39	 0.29	 
p_117	 0	 1	 01	 1	 11	 5.301311e+01	 1720.jpg	 7499.jpg	 7	 22	 1	 u	 1	 1	 513.47	 0.80	 0.60	 
p_117	 0	 1	 01	 1	 12	 5.802071e+01	 8208.jpg	 7660.jpg	 42	 48	 1	 u	 2	 1	 833.80	 0.35	 0.33	 
p_117	 0	 1	 01	 1	 13	 6.201343e+01	 8350.jpg	 8380.jpg	 49	 50	 0	 i	 2	 1	 737.05	 0.32	 0.29	 
p_117	 0	 1	 01	 1	 14	 7.101376e+01	 7260.jpg	 8496.jpg	 52	 40	 1	 i	 2	 0	 608.77	 0.22	 0.39	 
p_117	 0	 1	 01	 1	 15	 7.401832e+01	 7499.jpg	 4610.jpg	 22	 18	 0	 u	 1	 0	 676.09	 0.60	 0.63	 
p_117	 0	 1	 01	 1	 16	 7.901257e+01	 2057.jpg	 2373.jpg	 37	 25	 0	 i	 3	 1	 697.83	 0.42	 0.56	 
p_117	 0	 1	 01	 1	 17	 8.502169e+01	 4599.jpg	 2303.jpg	 14	 15	 0	 u	 1	 0	 672.65	 0.72	 0.70	 
p_117	 0	 1	 01	 1	 18	 8.801289e+01	 7499.jpg	 4640.jpg	 22	 12	 0	 i	 1	 1	 977.42	 0.60	 0.73	 
p_117	 0	 1	 01	 1	 19	 9.302049e+01	 4610.jpg	 5829.jpg	 18	 9	 1	 u	 1	 1	 657.79	 0.63	 0.78	 
p_117	 0	 1	 01	 1	 20	 9.701323e+01	 4610.jpg	 2346.jpg	 18	 16	 1	 i	 1	 0	 809.03	 0.63	 0.65	 
p_117	 0	 1	 01	 1	 21	 1.020208e+02	 5829.jpg	 4640.jpg	 9	 12	 0	 u	 1	 0	 665.42	 0.78	 0.73	 
p_117	 0	 1	 01	 1	 22	 1.070151e+02	 8280.jpg	 8371.jpg	 47	 46	 1	 i	 2	 0	 583.12	 0.34	 0.34	 
p_117	 0	 1	 01	 1	 23	 1.100196e+02	 4599.jpg	 2155.jpg	 14	 21	 0	 u	 1	 0	 642.55	 0.72	 0.61	 
p_117	 0	 1	 01	 1	 24	 1.130108e+02	 4610.jpg	 5260.jpg	 18	 8	 1	 u	 1	 1	 747.31	 0.63	 0.80	 
p_117	 0	 1	 01	 1	 25	 1.250157e+02	 4606.jpg	 5260.jpg	 13	 8	 1	 u	 1	 1	 742.34	 0.73	 0.80	 
p_117	 0	 1	 01	 1	 26	 1.290218e+02	 2352.1.jpg	 2155.jpg	 17	 21	 0	 u	 1	 0	 632.25	 0.63	 0.61	 
p_117	 0	 1	 01	 1	 27	 1.320130e+02	 8371.jpg	 8470.jpg	 46	 53	 0	 u	 2	 0	 873.01	 0.34	 0.22	 
p_117	 0	 1	 01	 1	 28	 1.390103e+02	 8470.jpg	 4626.jpg	 53	 43	 1	 i	 2	 0	 1011.67	 0.22	 0.35	 
p_117	 0	 1	 01	 1	 29	 1.420149e+02	 4626.jpg	 8380.jpg	 43	 50	 0	 u	 2	 0	 1063.11	 0.35	 0.29	 
p_117	 0	 1	 01	 1	 30	 1.490121e+02	 2155.jpg	 5260.jpg	 21	 8	 1	 i	 1	 0	 801.77	 0.61	 0.80	 
p_117	 0	 1	 01	 1	 31	 1.540197e+02	 7499.jpg	 2303.jpg	 22	 15	 0	 u	 1	 0	 1018.13	 0.60	 0.70	 
p_117	 0	 1	 01	 1	 32	 1.580125e+02	 1720.jpg	 2347.jpg	 7	 19	 1	 u	 1	 1	 793.38	 0.80	 0.62	 
p_117	 0	 1	 01	 1	 33	 1.630201e+02	 2155.jpg	 7499.jpg	 21	 22	 1	 i	 1	 0	 585.74	 0.61	 0.60	 
p_117	 0	 1	 01	 1	 34	 1.690158e+02	 2091.jpg	 4610.jpg	 11	 18	 0	 u	 1	 0	 693.95	 0.74	 0.63	 
p_117	 0	 1	 01	 1	 35	 1.730219e+02	 7660.jpg	 8380.jpg	 48	 50	 0	 i	 2	 1	 1231.83	 0.33	 0.29	 
p_117	 0	 1	 01	 1	 36	 1.760131e+02	 7260.jpg	 4626.jpg	 52	 43	 1	 i	 2	 0	 760.61	 0.22	 0.35	 
p_117	 0	 1	 01	 1	 37	 1.790177e+02	 8502.jpg	 8371.jpg	 39	 46	 1	 u	 2	 1	 916.02	 0.40	 0.34	 
p_117	 0	 1	 01	 1	 38	 1.820089e+02	 7480.jpg	 8380.jpg	 54	 50	 0	 i	 2	 1	 1108.80	 0.22	 0.29	 
p_117	 0	 1	 01	 1	 39	 1.860150e+02	 4599.jpg	 2030.jpg	 14	 20	 0	 u	 1	 0	 774.71	 0.72	 0.61	 
p_117	 0	 1	 01	 1	 40	 1.900210e+02	 2091.jpg	 1720.jpg	 11	 7	 0	 u	 1	 0	 792.59	 0.74	 0.80	 
p_117	 0	 1	 01	 1	 41	 1.960168e+02	 2347.jpg	 2303.jpg	 19	 15	 0	 u	 1	 0	 900.78	 0.62	 0.70	 
p_117	 0	 1	 01	 1	 42	 2.050171e+02	 4601.jpg	 5260.jpg	 10	 8	 1	 u	 1	 1	 732.40	 0.76	 0.80	 
p_117	 0	 1	 01	 1	 43	 2.080217e+02	 8210.jpg	 8470.jpg	 41	 53	 0	 u	 2	 0	 831.83	 0.36	 0.22	 
p_117	 0	 1	 01	 1	 44	 2.120144e+02	 8208.jpg	 8371.jpg	 42	 46	 1	 u	 2	 1	 1159.07	 0.35	 0.34	 
p_117	 0	 1	 01	 1	 45	 2.170087e+02	 8510.jpg	 7660.jpg	 45	 48	 1	 i	 2	 0	 812.74	 0.34	 0.33	 
p_117	 0	 1	 01	 1	 46	 2.200132e+02	 4601.jpg	 5829.jpg	 10	 9	 1	 u	 1	 1	 760.20	 0.76	 0.78	 
p_117	 0	 1	 01	 1	 47	 2.240193e+02	 2158.jpg	 1540.jpg	 35	 23	 0	 u	 4	 0	 858.11	 0.44	 0.59	 
p_117	 0	 1	 01	 1	 48	 2.340212e+02	 2352.1.jpg	 1720.jpg	 17	 7	 0	 u	 1	 0	 672.18	 0.63	 0.80	 
p_117	 0	 1	 01	 1	 49	 2.370124e+02	 4603.jpg	 5480.jpg	 26	 38	 1	 u	 4	 1	 960.95	 0.56	 0.41	 
p_117	 0	 1	 01	 1	 50	 2.470142e+02	 8208.jpg	 4626.jpg	 42	 43	 1	 i	 2	 0	 1039.06	 0.35	 0.35	 
p_117	 0	 1	 01	 1	 51	 2.520218e+02	 7260.jpg	 8371.jpg	 52	 46	 1	 u	 2	 1	 983.42	 0.22	 0.34	 
p_117	 0	 1	 01	 1	 52	 2.570161e+02	 2209.jpg	 4626.jpg	 44	 43	 1	 u	 2	 1	 653.14	 0.35	 0.35	 
p_117	 0	 1	 01	 1	 53	 2.620103e+02	 2352.1.jpg	 4640.jpg	 17	 12	 0	 u	 1	 0	 674.84	 0.63	 0.73	 
p_117	 0	 1	 01	 1	 54	 2.650149e+02	 8496.jpg	 8502.jpg	 40	 39	 0	 i	 2	 1	 742.26	 0.39	 0.40	 
p_117	 0	 1	 01	 1	 55	 2.690209e+02	 8371.jpg	 8380.jpg	 46	 50	 0	 i	 2	 1	 832.16	 0.34	 0.29	 
p_117	 0	 1	 01	 1	 56	 2.770198e+02	 2347.jpg	 4606.jpg	 19	 13	 0	 u	 1	 0	 1129.31	 0.62	 0.73	 
p_117	 0	 1	 01	 1	 57	 2.810125e+02	 8496.jpg	 8470.jpg	 40	 53	 0	 u	 2	 0	 1288.56	 0.39	 0.22	 
