subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	CueTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
BSOV_117	 1	 4	 KifkefMaklot2.bmp	 4.012402e+02	 22	 9.273538e+02	 220	 5.838952e+02	 98	 4.022580e+02	 583.33	 600.00	 52.00	 53	 1.62	 
BSOV_117	 1	 4	 BisliPizza3.bmp	 4.042270e+02	 12	 1.316477e+03	 12	 999000	 98	 4.052448e+02	 583.33	 600.00	 22.00	 4	 7.00	 
BSOV_117	 1	 4	 Tictac.bmp	 4.082314e+02	 11	 1.168106e+03	 1100	 5.838830e+02	 98	 4.092491e+02	 533.33	 600.00	 13.00	 27	 8.09	 
BSOV_117	 1	 4	 DoritosNatural.bmp	 4.102337e+02	 12	 999000	 120	 999000	 999	 4.112514e+02	 533.33	 600.00	 3.00	 16	 9.96	 
BSOV_117	 1	 4	 Egozi.bmp	 4.122359e+02	 24	 8.916151e+02	 24	 999000	 98	 4.132537e+02	 533.33	 600.00	 58.00	 13	 0.53	 
BSOV_117	 1	 4	 DoritosSourSpicy.bmp	 4.162404e+02	 12	 999000	 120	 999000	 999	 4.172582e+02	 533.33	 600.00	 5.00	 43	 9.96	 
BSOV_117	 1	 4	 Shugi.bmp	 4.182257e+02	 24	 999000	 240	 999000	 999	 4.192438e+02	 533.33	 600.00	 54.00	 17	 0.62	 
BSOV_117	 1	 4	 BabyDoll.bmp	 4.232315e+02	 24	 999000	 240	 999000	 999	 4.242493e+02	 533.33	 600.00	 51.00	 26	 1.67	 
BSOV_117	 1	 4	 TapuchipsCrunch.bmp	 4.252338e+02	 12	 999000	 120	 999000	 999	 4.262515e+02	 533.33	 600.00	 19.00	 50	 7.96	 
BSOV_117	 1	 4	 Twix.bmp	 4.282372e+02	 12	 999000	 120	 999000	 999	 4.292550e+02	 533.33	 600.00	 9.00	 11	 9.91	 
BSOV_117	 1	 4	 Mentos.bmp	 4.312407e+02	 24	 999000	 240	 999000	 999	 4.322583e+02	 533.33	 600.00	 40.00	 30	 3.78	 
BSOV_117	 1	 4	 Twist.bmp	 4.352285e+02	 24	 999000	 240	 999000	 999	 4.362462e+02	 533.33	 600.00	 57.00	 60	 0.56	 
BSOV_117	 1	 4	 HispusimShatiah.bmp	 4.382317e+02	 22	 1.255767e+03	 2200	 6.006405e+02	 98	 4.392495e+02	 533.33	 550.00	 50.00	 56	 1.71	 
BSOV_117	 1	 4	 Kitkat.bmp	 4.402340e+02	 11	 8.695258e+02	 110	 5.338809e+02	 98	 4.412517e+02	 550.00	 550.00	 18.00	 19	 7.98	 
BSOV_117	 1	 4	 GumiSnakes3.bmp	 4.432373e+02	 24	 999000	 240	 999000	 999	 4.442551e+02	 550.00	 550.00	 55.00	 35	 0.60	 
BSOV_117	 1	 4	 BambaNugat.bmp	 4.472248e+02	 11	 8.867205e+02	 110	 5.509301e+02	 98	 4.482430e+02	 566.67	 550.00	 12.00	 24	 8.18	 
