  dataset     zr_2     zr_1        a      v_2       t0        d      szr       sv      st0      v_1  penalty      fit     time   method
       01   0.2746   0.1848   1.1277   1.9063   0.6747   0.1339   0.3696   1.6384   0.2885   6.0185   0.0000 -10.1217  38.3160       ML
       02   0.5407   0.4995   1.5458   0.4343   0.5510   0.0175   0.1616   1.8371   0.3521  -0.4353   0.0000  94.3337  18.6770       ML
       03   0.4339   0.3320   0.6443  -0.5807   1.0057   0.0235   0.0027   0.6399   0.6158   0.8932   0.0000  40.4064  21.6520       ML
       04   0.5436   0.5345   0.9481   1.3133   0.5637   0.0401   0.0004   0.0001   0.3145   0.2274   0.0000  28.6547  12.6730       ML
       05   0.5683   0.5355   1.0899  -0.0347   0.7025   0.0502   0.2842   0.5111   0.2574   1.5327   0.0000  40.2689  19.6730       ML
       06   0.5700   0.4908   1.0423   0.4212   0.5805  -0.0117   0.2136   0.5350   0.1781  -0.5915   0.0000  42.9701  33.4390       ML
       07   0.6289   0.5780   0.9383  -0.5293   0.7411   0.0109   0.7274   0.0098   0.3881   0.0412   0.0000  57.2620  45.0190       ML
       09   0.4390   0.3922   1.3109  -0.1196   0.6454   0.0699   0.0001   0.9779   0.3173   2.4701   0.0000  44.5184  27.9030       ML
       10   0.4831   0.5061   1.0466  -1.5988   0.6903  -0.0063   0.2926   0.5105   0.3010  -0.1307   0.0000  44.5720   7.5630       ML
       11   0.6808   0.5502   1.0277   0.8880   0.7313   0.0280   0.6385   0.1019   0.3691  -1.0190   0.0000  40.3876  28.7220       ML
       13   0.6302   0.6273   0.9297   1.4974   0.6884   0.0124   0.4854   0.9908   0.4040  -0.9116   0.0000  33.3664  50.1520       ML
       14   0.7575   0.8360   1.0523  -0.1759   0.6358  -0.1208   0.3197   0.3822   0.4512  -1.4113   0.0000  54.0608  21.7840       ML
       15   0.2533   0.3392   1.4368   2.1642   0.6576   0.3747   0.2925   0.0004   0.0039   2.0305   0.0000  12.9004   7.7680       ML
       17   0.7591   0.6562   0.7625  -0.5586   0.8876   0.0311   0.4819   0.5672   0.5385   0.5542   0.0000  41.9195  45.3180       ML
       18   0.6841   0.5150   0.8697   1.4094   0.6413   0.0540   0.0702   1.1079   0.3723   1.5829   0.0000   0.4187  13.8980       ML
       19   0.6526   0.8849   1.0482   0.1290   0.5945  -0.1001   0.2302   0.6630   0.3585  -0.7117   0.0000  30.9655  13.9390       ML
       20   0.5310   0.7280   1.0203   0.9058   0.8070  -0.0695   0.5440   1.1518   0.6495  -2.1486   0.0000  73.2349  92.5880       ML
       21   0.5031   0.5523   1.1303   0.5884   0.6997   0.0209   0.0202   0.6228   0.2440   0.8980   0.0000  51.7019  22.2100       ML
       22   0.5947   0.8462   0.9223   1.0271   0.8197  -0.1169   0.3075   0.8879   0.7069  -1.6451   0.0000  61.7189  55.6680       ML
       23   0.5905   0.7403   0.9914  -1.0004   0.7057  -0.0138   0.4494   0.0003   0.4806  -4.0550   0.0000  41.5507 101.1180       ML
       25   0.7565   0.5596   0.9289  -0.6013   0.8011  -0.0628   0.4870   0.5176   0.5259  -0.5383   0.0000  62.3723  86.3580       ML
       28   0.5552   0.4364   1.2904  -0.0408   0.6061   0.0128   0.0088   1.0959   0.4594   0.6668   0.0000  88.4937  25.3810       ML
       30   0.5525   0.5607   1.0216   0.6760   0.6988  -0.0338   0.8120   1.0956   0.3503  -1.0427   0.0000  48.7115  30.6750       ML
       32   0.3651   0.5737   1.0082   2.2910   0.4547   0.0163   0.5789   1.9819   0.2179   1.5030   0.0000  -0.6802  35.2050       ML
       34   0.5320   0.5785   0.9722  -0.2513   0.5375  -0.0077   0.0691   0.0006   0.1163  -0.1745   0.0000  27.4838  11.1450       ML
