subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	
BOA_112	 0	 2	 02	 1	 1	 2.018907e+00	 DoritosGrill.bmp	 Snickers.bmp	 16	 12	 1	 u	 1	 1	 1317.54	 5.93	 6.11	 
BOA_112	 0	 2	 02	 1	 2	 1.002789e+01	 ChocolateParaCookies5.bmp	 KinderBuenoWhite2.bmp	 15	 17	 0	 u	 1	 0	 1044.55	 5.96	 5.89	 
BOA_112	 0	 2	 02	 1	 3	 1.403239e+01	 Bounty.bmp	 Smarties.bmp	 46	 45	 1	 x	 2	 999	 999000.00	 0.09	 0.11	 
BOA_112	 0	 2	 02	 1	 4	 1.902122e+01	 DoritosGrill.bmp	 BambaNugat.bmp	 16	 13	 1	 i	 1	 0	 923.22	 5.93	 6.09	 
BOA_112	 0	 2	 02	 1	 5	 2.803132e+01	 BisliOnion.bmp	 Tortit.bmp	 48	 50	 1	 x	 2	 999	 999000.00	 0.07	 0.07	 
BOA_112	 0	 2	 02	 1	 6	 3.302031e+01	 Smarties.bmp	 Bamba.bmp	 45	 43	 0	 x	 2	 999	 999000.00	 0.11	 0.11	 
BOA_112	 0	 2	 02	 1	 7	 3.602360e+01	 Cheetos.bmp	 Kitkat.bmp	 14	 10	 1	 i	 1	 0	 832.84	 6.00	 7.47	 
BOA_112	 0	 2	 02	 1	 8	 4.002811e+01	 Tortit.bmp	 Tictac.bmp	 50	 54	 0	 x	 2	 999	 999000.00	 0.07	 0.04	 
BOA_112	 0	 2	 02	 1	 9	 4.403260e+01	 BambaNugat.bmp	 ClickBalls5.bmp	 13	 8	 0	 i	 1	 1	 671.84	 6.09	 7.53	 
BOA_112	 0	 2	 02	 1	 10	 4.701933e+01	 Tictac.bmp	 Taami.bmp	 54	 44	 1	 x	 2	 999	 999000.00	 0.04	 0.11	 
BOA_112	 0	 2	 02	 1	 11	 5.202485e+01	 BisliOnion.bmp	 Smarties.bmp	 48	 45	 1	 x	 2	 999	 999000.00	 0.07	 0.11	 
BOA_112	 0	 2	 02	 1	 12	 5.901585e+01	 ClickBalls5.bmp	 ClickBlackWhite3.bmp	 8	 18	 1	 u	 1	 1	 992.60	 7.53	 5.51	 
BOA_112	 0	 2	 02	 1	 13	 6.702503e+01	 Smarties.bmp	 Mekupelet.bmp	 45	 49	 0	 x	 2	 999	 999000.00	 0.11	 0.07	 
BOA_112	 0	 2	 02	 1	 14	 7.002841e+01	 DoritosGrill.bmp	 Loacker.bmp	 16	 7	 1	 i	 1	 0	 1212.03	 5.93	 7.69	 
BOA_112	 0	 2	 02	 1	 15	 7.501704e+01	 BambaSweet.bmp	 Tapuchips.bmp	 51	 52	 1	 x	 2	 999	 999000.00	 0.07	 0.07	 
BOA_112	 0	 2	 02	 1	 16	 8.402738e+01	 Bamba.bmp	 Tapuchips.bmp	 43	 52	 1	 x	 2	 999	 999000.00	 0.11	 0.07	 
BOA_112	 0	 2	 02	 1	 17	 8.901610e+01	 PesekZman.bmp	 ChocolateParaCookies5.bmp	 11	 15	 1	 i	 1	 0	 840.34	 7.11	 5.96	 
BOA_112	 0	 2	 02	 1	 18	 9.201974e+01	 ChocolateParaCookies5.bmp	 DoritosGrill.bmp	 15	 16	 0	 u	 1	 0	 980.69	 5.96	 5.93	 
BOA_112	 0	 2	 02	 1	 19	 9.602415e+01	 Mekupelet.bmp	 Taami.bmp	 49	 44	 1	 x	 2	 999	 999000.00	 0.07	 0.11	 
BOA_112	 0	 2	 02	 1	 20	 9.902765e+01	 ChocolateParaMarir2.bmp	 BambaSweet.bmp	 47	 51	 0	 x	 2	 999	 999000.00	 0.07	 0.07	 
BOA_112	 0	 2	 02	 1	 21	 1.100232e+02	 PesekZman.bmp	 Loacker.bmp	 11	 7	 1	 u	 1	 1	 817.19	 7.11	 7.69	 
BOA_112	 0	 2	 02	 1	 22	 1.170311e+02	 Loacker.bmp	 Cheetos.bmp	 7	 14	 0	 x	 1	 999	 999000.00	 7.69	 6.00	 
BOA_112	 0	 2	 02	 1	 23	 1.200175e+02	 Tapuchips.bmp	 Tictac.bmp	 52	 54	 0	 x	 2	 999	 999000.00	 0.07	 0.04	 
BOA_112	 0	 2	 02	 1	 24	 1.300289e+02	 BambaNugat.bmp	 PesekZman.bmp	 13	 11	 0	 u	 1	 0	 811.51	 6.09	 7.11	 
BOA_112	 0	 2	 02	 1	 25	 1.330324e+02	 GumiWine2.bmp	 BambaSweet.bmp	 53	 51	 0	 x	 2	 999	 999000.00	 0.04	 0.07	 
BOA_112	 0	 2	 02	 1	 26	 1.380212e+02	 DoritosGrill.bmp	 Kitkat.bmp	 16	 10	 1	 i	 1	 0	 875.23	 5.93	 7.47	 
BOA_112	 0	 2	 02	 1	 27	 1.460303e+02	 BisliOnion.bmp	 Tapuchips.bmp	 48	 52	 1	 x	 2	 999	 999000.00	 0.07	 0.07	 
BOA_112	 0	 2	 02	 1	 28	 1.560247e+02	 Taami.bmp	 BambaSweet.bmp	 44	 51	 0	 u	 2	 0	 655.74	 0.11	 0.07	 
BOA_112	 0	 2	 02	 1	 29	 1.650183e+02	 Taami.bmp	 Bounty.bmp	 44	 46	 0	 x	 2	 999	 999000.00	 0.11	 0.09	 
