subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BMI_bf_121	 1	 19	 1080.jpg	 2.390909e+03	 24	 999000	 240	 999000	 999	 2.391928e+03	 616.67	 550.00	 56.00	 12	 0.18	 
BMI_bf_121	 1	 19	 1262.jpg	 2.395914e+03	 11	 9.930471e+02	 110	 6.170024e+02	 98	 2.396950e+03	 633.33	 550.00	 7.00	 30	 0.78	 
BMI_bf_121	 1	 19	 2043.jpg	 2.397900e+03	 24	 999000	 240	 999000	 999	 2.398918e+03	 633.33	 550.00	 57.00	 37	 0.17	 
BMI_bf_121	 1	 19	 2010.jpg	 2.399902e+03	 24	 999000	 240	 999000	 999	 2.400920e+03	 633.33	 550.00	 55.00	 32	 0.23	 
BMI_bf_121	 1	 19	 1127.jpg	 2.405909e+03	 12	 999000	 120	 999000	 999	 2.406927e+03	 633.33	 550.00	 21.00	 14	 0.65	 
BMI_bf_121	 1	 19	 1114.jpg	 2.407911e+03	 12	 999000	 120	 999000	 999	 2.408929e+03	 633.33	 550.00	 16.00	 13	 0.69	 
BMI_bf_121	 1	 19	 2112.jpg	 2.410915e+03	 24	 999000	 240	 999000	 999	 2.411932e+03	 633.33	 550.00	 49.00	 45	 0.29	 
BMI_bf_121	 1	 19	 1035.jpg	 2.412900e+03	 11	 9.734824e+02	 110	 6.336689e+02	 98	 2.413934e+03	 650.00	 550.00	 12.00	 7	 0.72	 
BMI_bf_121	 1	 19	 1191.jpg	 2.416905e+03	 12	 999000	 120	 999000	 999	 2.417922e+03	 650.00	 550.00	 4.00	 21	 0.81	 
BMI_bf_121	 1	 19	 1027.jpg	 2.418907e+03	 12	 999000	 120	 999000	 999	 2.419925e+03	 650.00	 550.00	 6.00	 5	 0.78	 
BMI_bf_121	 1	 19	 1073.jpg	 2.423912e+03	 12	 999000	 120	 999000	 999	 2.424930e+03	 650.00	 550.00	 22.00	 11	 0.65	 
BMI_bf_121	 1	 19	 1226.jpg	 2.430904e+03	 24	 999000	 240	 999000	 999	 2.431921e+03	 650.00	 550.00	 41.00	 27	 0.36	 
BMI_bf_121	 1	 19	 1173.jpg	 2.432906e+03	 12	 999000	 120	 999000	 999	 2.433924e+03	 650.00	 550.00	 19.00	 19	 0.67	 
BMI_bf_121	 1	 19	 2149.jpg	 2.435909e+03	 24	 999000	 240	 999000	 999	 2.436927e+03	 650.00	 550.00	 39.00	 49	 0.40	 
BMI_bf_121	 1	 19	 1210.jpg	 2.438913e+03	 12	 999000	 120	 999000	 999	 2.439930e+03	 650.00	 550.00	 9.00	 25	 0.76	 
BMI_bf_121	 1	 19	 2125.jpg	 2.442900e+03	 11	 1.034376e+03	 1100	 6.503189e+02	 98	 2.443936e+03	 600.00	 550.00	 18.00	 47	 0.67	 
BMI_bf_121	 1	 19	 1255.jpg	 2.446905e+03	 11	 1.001311e+03	 1100	 6.003142e+02	 98	 2.447940e+03	 550.00	 550.00	 10.00	 29	 0.76	 
BMI_bf_121	 1	 19	 2063.jpg	 2.450909e+03	 24	 999000	 240	 999000	 999	 2.451927e+03	 550.00	 550.00	 42.00	 41	 0.35	 
BMI_bf_121	 1	 19	 1246.jpg	 2.453913e+03	 24	 999000	 240	 999000	 999	 2.454931e+03	 550.00	 550.00	 48.00	 28	 0.32	 
BMI_bf_121	 1	 19	 2053.jpg	 2.459903e+03	 12	 999000	 120	 999000	 999	 2.460921e+03	 550.00	 550.00	 14.00	 39	 0.72	 
