subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
BMI_bf_111	0	1	03	2	1	2.018492e+00	2194.jpg	1114.jpg	47	48	1	i	2	0	1128.17	0.33	0.30
BMI_bf_111	0	1	03	2	2	5.021861e+00	1262.jpg	1183.jpg	53	46	1	i	2	0	1038.76	0.20	0.34
BMI_bf_111	0	1	03	2	3	9.026359e+00	2010.jpg	2155.jpg	13	8	1	u	1	1	848.13	0.74	0.80
BMI_bf_111	0	1	03	2	4	1.501641e+01	1146.jpg	2041.jpg	54	44	0	u	2	0	989.59	0.18	0.36
BMI_bf_111	0	1	03	2	5	2.102314e+01	2118.jpg	2153.jpg	9	15	0	i	1	1	1046.92	0.79	0.70
BMI_bf_111	0	1	03	2	6	2.602875e+01	2024.jpg	2118.jpg	12	9	1	u	1	1	935.30	0.74	0.79
BMI_bf_111	0	1	03	2	7	3.001655e+01	1035.jpg	2006.jpg	18	11	1	i	1	0	1346.45	0.68	0.76
BMI_bf_111	0	1	03	2	8	3.502216e+01	2015.jpg	2024.jpg	14	12	0	u	1	0	1212.34	0.71	0.74
BMI_bf_111	0	1	03	2	9	4.102892e+01	2015.jpg	2010.jpg	14	13	0	i	1	1	842.07	0.71	0.74
BMI_bf_111	0	1	03	2	10	4.403227e+01	2212.jpg	2155.jpg	7	8	1	u	1	1	1090.21	0.81	0.80
BMI_bf_111	0	1	03	2	11	4.701895e+01	2118.jpg	1035.jpg	9	18	0	u	1	0	1096.11	0.79	0.68
BMI_bf_111	0	1	03	2	12	5.102344e+01	2194.jpg	1146.jpg	47	54	1	i	2	0	1051.77	0.33	0.18
BMI_bf_111	0	1	03	2	13	5.602906e+01	2015.jpg	2125.jpg	14	10	0	i	1	1	838.90	0.71	0.79
BMI_bf_111	0	1	03	2	14	5.903242e+01	2212.jpg	2043.jpg	7	16	1	u	1	1	816.93	0.81	0.70
BMI_bf_111	0	1	03	2	15	6.201910e+01	1150.jpg	1017.jpg	45	49	1	i	2	0	1104.15	0.34	0.29
BMI_bf_111	0	1	03	2	16	6.602358e+01	1017.jpg	2041.jpg	49	44	0	u	2	0	969.88	0.29	0.36
BMI_bf_111	0	1	03	2	17	8.002263e+01	1183.jpg	1204.jpg	46	52	0	u	2	0	786.45	0.34	0.21
BMI_bf_111	0	1	03	2	18	8.803160e+01	1114.jpg	1262.jpg	48	53	0	u	2	0	1136.62	0.30	0.20
BMI_bf_111	0	1	03	2	19	9.402164e+01	2010.jpg	2039.jpg	13	17	1	i	1	0	1491.89	0.74	0.70
BMI_bf_111	0	1	03	2	20	9.702502e+01	2125.jpg	2039.jpg	10	17	1	i	1	0	806.15	0.79	0.70
BMI_bf_111	0	1	03	2	21	1.010295e+02	1114.jpg	1204.jpg	48	52	0	u	2	0	1065.60	0.30	0.21
BMI_bf_111	0	1	03	2	22	1.070196e+02	1035.jpg	2039.jpg	18	17	1	i	1	0	1252.07	0.68	0.70
BMI_bf_111	0	1	03	2	23	1.100229e+02	1183.jpg	2041.jpg	46	44	0	u	2	0	982.58	0.34	0.36
BMI_bf_111	0	1	03	2	24	1.130263e+02	1183.jpg	2194.jpg	46	47	0	u	2	0	994.37	0.34	0.33
BMI_bf_111	0	1	03	2	25	1.160297e+02	2118.jpg	2212.jpg	9	7	0	i	1	1	938.61	0.79	0.81
BMI_bf_111	0	1	03	2	26	1.230208e+02	2149.jpg	1017.jpg	50	49	1	x	2	999	999000.00	0.25	0.29
BMI_bf_111	0	1	03	2	27	1.260242e+02	1226.jpg	2112.jpg	56	5	0	i	4	1	878.30	0.15	0.82
BMI_bf_111	0	1	03	2	28	1.290276e+02	1262.jpg	1191.jpg	53	51	1	i	2	0	1205.10	0.20	0.24
BMI_bf_111	0	1	03	2	29	1.340165e+02	2155.jpg	2024.jpg	8	12	0	i	1	1	1065.13	0.80	0.74
BMI_bf_111	0	1	03	2	30	1.370199e+02	1035.jpg	2155.jpg	18	8	1	i	1	0	851.92	0.68	0.80
BMI_bf_111	0	1	03	2	31	1.410244e+02	1204.jpg	1191.jpg	52	51	1	u	2	1	1291.36	0.21	0.24
BMI_bf_111	0	1	03	2	32	1.470311e+02	1114.jpg	2149.jpg	48	50	0	u	2	0	932.42	0.30	0.25
BMI_bf_111	0	1	03	2	33	1.500178e+02	2010.jpg	2118.jpg	13	9	1	u	1	1	814.69	0.74	0.79
BMI_bf_111	0	1	03	2	34	1.570256e+02	2110.jpg	2112.jpg	55	5	0	i	4	1	1007.12	0.15	0.82
BMI_bf_111	0	1	03	2	35	1.620312e+02	1262.jpg	1146.jpg	53	54	1	i	2	0	1154.23	0.20	0.18
BMI_bf_111	0	1	03	2	36	1.660190e+02	1127.jpg	1150.jpg	43	45	0	u	2	0	1137.88	0.36	0.34
BMI_bf_111	0	1	03	2	37	1.690224e+02	2015.jpg	1035.jpg	14	18	0	u	1	0	1127.13	0.71	0.68
BMI_bf_111	0	1	03	2	38	1.720258e+02	1150.jpg	1191.jpg	45	51	1	i	2	0	925.14	0.34	0.24
