subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
BMI_bf_118	0	2	04	1	1	2.033851e+00	2110.jpg	2041.jpg	13	17	0	i	1	1	931.60	0.63	0.61
BMI_bf_118	0	2	04	1	2	7.022774e+00	1007.jpg	2112.jpg	54	53	1	i	2	0	690.38	0.28	0.28
BMI_bf_118	0	2	04	1	3	1.503175e+01	2112.jpg	2125.jpg	53	48	0	i	2	1	916.80	0.28	0.38
BMI_bf_118	0	2	04	1	4	1.803512e+01	1226.jpg	2006.jpg	16	12	1	i	1	0	917.32	0.62	0.63
BMI_bf_118	0	2	04	1	5	2.502629e+01	1114.jpg	1216.jpg	51	50	1	u	2	1	1160.22	0.33	0.33
BMI_bf_118	0	2	04	1	6	2.802966e+01	1202.jpg	1114.jpg	45	51	0	i	2	1	1104.47	0.40	0.33
BMI_bf_118	0	2	04	1	7	3.902530e+01	2209.jpg	1226.jpg	7	16	0	i	1	1	1089.36	0.69	0.62
BMI_bf_118	0	2	04	1	8	4.302979e+01	2240.jpg	2041.jpg	15	17	0	i	1	1	1067.53	0.62	0.61
BMI_bf_118	0	2	04	1	9	4.703428e+01	1210.jpg	2039.jpg	5	55	1	u	4	1	1034.48	0.69	0.28
BMI_bf_118	0	2	04	1	10	5.002096e+01	1202.jpg	2045.jpg	45	43	0	u	2	0	770.42	0.40	0.43
BMI_bf_118	0	2	04	1	11	5.302433e+01	1216.jpg	2153.jpg	50	49	0	u	2	0	613.43	0.33	0.36
BMI_bf_118	0	2	04	1	12	5.802994e+01	2218.jpg	2112.jpg	46	53	1	i	2	0	850.57	0.39	0.28
BMI_bf_118	0	2	04	1	13	6.203442e+01	1202.jpg	1007.jpg	45	54	0	u	2	0	1098.80	0.40	0.28
BMI_bf_118	0	2	04	1	14	7.102784e+01	2024.jpg	2110.jpg	11	13	1	i	1	0	1263.29	0.63	0.63
BMI_bf_118	0	2	04	1	15	7.403121e+01	2240.jpg	2128.jpg	15	9	0	i	1	1	993.79	0.62	0.67
BMI_bf_118	0	2	04	1	16	7.902014e+01	2212.jpg	2240.jpg	8	15	1	i	1	0	1382.66	0.68	0.62
BMI_bf_118	0	2	04	1	17	8.502686e+01	2212.jpg	1191.jpg	8	10	1	u	1	1	787.39	0.68	0.64
BMI_bf_118	0	2	04	1	18	8.803023e+01	1210.jpg	1073.jpg	5	56	1	i	4	0	832.93	0.69	0.26
BMI_bf_118	0	2	04	1	19	9.303583e+01	2125.jpg	1202.jpg	48	45	1	i	2	0	1115.06	0.38	0.40
BMI_bf_118	0	2	04	1	20	9.702363e+01	2112.jpg	2045.jpg	53	43	0	u	2	0	1098.68	0.28	0.43
BMI_bf_118	0	2	04	1	21	1.020293e+02	2045.jpg	1255.jpg	43	52	1	i	2	0	942.03	0.43	0.32
BMI_bf_118	0	2	04	1	22	1.070349e+02	2128.jpg	1052.jpg	9	18	1	u	1	1	1032.92	0.67	0.61
BMI_bf_118	0	2	04	1	23	1.100215e+02	1255.jpg	2153.jpg	52	49	0	u	2	0	1072.64	0.32	0.36
BMI_bf_118	0	2	04	1	24	1.130249e+02	1191.jpg	2024.jpg	10	11	0	i	1	1	1264.41	0.64	0.63
BMI_bf_118	0	2	04	1	25	1.250217e+02	2024.jpg	2240.jpg	11	15	1	u	1	1	1069.46	0.63	0.62
BMI_bf_118	0	2	04	1	26	1.290262e+02	1255.jpg	1114.jpg	52	51	0	i	2	1	901.37	0.32	0.33
BMI_bf_118	0	2	04	1	27	1.320295e+02	2010.jpg	2153.jpg	47	49	0	u	2	0	1059.39	0.39	0.36
BMI_bf_118	0	2	04	1	28	1.390207e+02	2024.jpg	2006.jpg	11	12	1	i	1	0	886.10	0.63	0.63
BMI_bf_118	0	2	04	1	29	1.420241e+02	1007.jpg	2010.jpg	54	47	1	i	2	0	864.10	0.28	0.39
BMI_bf_118	0	2	04	1	30	1.490319e+02	2194.jpg	2045.jpg	44	43	0	u	2	0	1315.30	0.41	0.43
BMI_bf_118	0	2	04	1	31	1.540208e+02	1052.jpg	2041.jpg	18	17	0	i	1	1	770.34	0.61	0.61
BMI_bf_118	0	2	04	1	32	1.580253e+02	2110.jpg	1017.jpg	13	14	0	i	1	1	1221.10	0.63	0.62
BMI_bf_118	0	2	04	1	33	1.630309e+02	1017.jpg	1052.jpg	14	18	1	u	1	1	1176.93	0.62	0.61
BMI_bf_118	0	2	04	1	34	1.690210e+02	1017.jpg	2209.jpg	14	7	1	u	1	1	1115.94	0.62	0.69
BMI_bf_118	0	2	04	1	35	1.730255e+02	2112.jpg	1114.jpg	53	51	0	i	2	1	801.61	0.28	0.33
BMI_bf_118	0	2	04	1	36	1.760288e+02	2212.jpg	2006.jpg	8	12	1	i	1	0	1150.94	0.68	0.63
BMI_bf_118	0	2	04	1	37	1.790322e+02	1216.jpg	2125.jpg	50	48	0	i	2	1	1297.66	0.33	0.38
BMI_bf_118	0	2	04	1	38	1.820356e+02	2128.jpg	2209.jpg	9	7	1	x	1	999	999000.00	0.67	0.69
