  dataset        a        v       t0        d      st0  penalty      fit     time   method
      101   0.9815   0.0565   0.5483  -0.0104   0.3135   0.0000  30.0369   0.7170       ML
      102   0.3190  -1.1221   0.9497  -0.0793   0.9160   0.0000  42.1108   2.4680       ML
      103   1.1922   0.7399   0.5399  -0.0423   0.3522   0.0000  38.8072   0.6550       ML
      104   1.5611   2.6276   0.7038   0.3100   0.2803   0.0000 -13.3093   1.2870       ML
      105   0.9667   0.9156   0.5133   0.0894   0.3711   0.0000  25.1551   0.9050       ML
      106   1.1819   1.8695   0.6268   0.1809   0.2435   0.0000  -1.6076   0.5480       ML
      107   0.7193  -0.5956   0.7549  -0.0312   0.6383   0.0000  36.6244   0.9210       ML
      108   1.0838   1.3733   0.5541  -0.0686   0.3327   0.0000   9.5971   1.1420       ML
      109   0.9117   0.3429   0.5727   0.0138   0.5862   0.0000  41.1361   1.0040       ML
      110   0.8251  -0.5216   0.5189  -0.0461   0.4098   0.0000  16.3381   0.7050       ML
      111   0.9164  -0.1586   0.7128   0.0374   0.4136   0.0000  30.6853   0.5480       ML
      112   0.8972  -0.0915   0.2508   0.0015   0.0382   0.0000  -1.2819   0.4210       ML
      113   1.0158   0.1690   0.6420  -0.0113   0.3559   0.0000  37.7274   0.6320       ML
      115   0.9500   0.2414   0.6295   0.0182   0.3872   0.0000  33.0188   0.4990       ML
      116   0.9057   1.0697   0.7198   0.0427   0.3569   0.0000  18.6696   0.8360       ML
      117   0.9871   1.5843   0.4693  -0.0126   0.1623   0.0000 -12.4990   0.7750       ML
      118   0.9707   0.5290   0.5087   0.0435   0.2545   0.0000  20.5183   0.3530       ML
      119   0.9072   0.2175   0.6406   0.0045   0.3161   0.0000  23.1523   0.5540       ML
      120   1.1899   1.7633   0.4573  -0.0690   0.0001   0.0000 -11.1212   0.1440       ML
      121   0.6419   0.0861   0.7543  -0.0457   0.8320   0.0000  48.4626   1.2140       ML
      122   0.7259   2.6703   0.7726   0.0518   0.5642   0.0000   3.2743   0.8810       ML
      123   1.0396   1.7124   0.5174  -0.0239   0.3359   0.0000   8.6875   0.5380       ML
      124   1.0054   0.2809   0.5916   0.1918   0.5367   0.0000  38.9054   1.0930       ML
      126   1.0746   2.0741   0.4225   0.0416   0.1163   0.0000 -23.3841   0.2910       ML
      127   0.9287   0.2084   0.5130   0.0414   0.2815   0.0000  20.9414   0.6670       ML
