subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
BMI_bfr_118	0	2	03	2	1	2.018786e+00	112.jpg	138.jpg	12	17	0	i	1	1	639.23	0.72	0.67
BMI_bfr_118	0	2	03	2	2	5.022129e+00	108.jpg	130.jpg	16	7	1	u	1	1	1291.89	0.68	0.85
BMI_bfr_118	0	2	03	2	3	1.203000e+01	142.jpg	139.jpg	44	49	0	u	2	0	828.01	0.34	0.26
BMI_bfr_118	0	2	03	2	4	1.601788e+01	121.jpg	105.jpg	50	43	0	u	2	0	864.13	0.26	0.36
BMI_bfr_118	0	2	03	2	5	2.102343e+01	159.jpg	101.jpg	51	47	1	i	2	0	1434.60	0.25	0.29
BMI_bfr_118	0	2	03	2	6	2.502804e+01	108.jpg	137.jpg	16	15	1	i	1	0	829.98	0.68	0.68
BMI_bfr_118	0	2	03	2	7	2.901594e+01	121.jpg	132.jpg	50	48	0	i	2	1	890.08	0.26	0.27
BMI_bfr_118	0	2	03	2	8	3.201913e+01	139.jpg	125.jpg	49	53	1	u	2	1	1198.88	0.26	0.18
BMI_bfr_118	0	2	03	2	9	3.502257e+01	103.jpg	151.jpg	8	13	1	u	1	1	1451.45	0.84	0.72
BMI_bfr_118	0	2	03	2	10	4.002811e+01	142.jpg	132.jpg	44	48	0	i	2	1	1053.91	0.34	0.27
BMI_bfr_118	0	2	03	2	11	4.401604e+01	130.jpg	103.jpg	7	8	0	u	1	0	1097.98	0.85	0.84
BMI_bfr_118	0	2	03	2	12	4.902163e+01	152.jpg	134.jpg	10	14	0	i	1	1	828.38	0.76	0.68
BMI_bfr_118	0	2	03	2	13	5.302608e+01	142.jpg	159.jpg	44	51	0	u	2	0	999.93	0.34	0.25
BMI_bfr_118	0	2	03	2	14	5.602941e+01	101.jpg	132.jpg	47	48	0	i	2	1	756.62	0.29	0.27
BMI_bfr_118	0	2	03	2	15	6.001728e+01	139.jpg	121.jpg	49	50	1	u	2	1	768.74	0.26	0.26
BMI_bfr_118	0	2	03	2	16	6.602395e+01	156.jpg	144.jpg	52	54	0	i	2	1	882.07	0.19	0.16
BMI_bfr_118	0	2	03	2	17	7.301529e+01	128.jpg	115.jpg	5	56	1	u	4	1	834.73	0.86	0.15
BMI_bfr_118	0	2	03	2	18	7.601858e+01	145.jpg	125.jpg	46	53	1	u	2	1	967.44	0.32	0.18
BMI_bfr_118	0	2	03	2	19	8.102417e+01	152.jpg	103.jpg	10	8	0	i	1	1	977.88	0.76	0.84
BMI_bfr_118	0	2	03	2	20	8.602976e+01	150.jpg	112.jpg	11	12	1	u	1	1	924.34	0.72	0.72
BMI_bfr_118	0	2	03	2	21	9.201981e+01	126.jpg	150.jpg	18	11	0	i	1	1	942.20	0.66	0.72
BMI_bfr_118	0	2	03	2	22	9.602430e+01	134.jpg	130.jpg	14	7	1	i	1	0	881.72	0.68	0.85
BMI_bfr_118	0	2	03	2	23	1.010299e+02	151.jpg	134.jpg	13	14	0	i	1	1	612.11	0.72	0.68
BMI_bfr_118	0	2	03	2	24	1.080211e+02	130.jpg	129.jpg	7	9	0	u	1	0	836.92	0.85	0.81
BMI_bfr_118	0	2	03	2	25	1.130267e+02	144.jpg	142.jpg	54	44	1	i	2	0	927.28	0.16	0.34
BMI_bfr_118	0	2	03	2	26	1.180159e+02	132.jpg	158.jpg	48	45	1	u	2	1	826.12	0.27	0.33
BMI_bfr_118	0	2	03	2	27	1.210190e+02	157.jpg	104.jpg	6	55	1	u	4	1	622.98	0.86	0.15
BMI_bfr_118	0	2	03	2	28	1.240224e+02	159.jpg	125.jpg	51	53	1	i	2	0	1139.62	0.25	0.18
BMI_bfr_118	0	2	03	2	29	1.300292e+02	125.jpg	105.jpg	53	43	0	i	2	1	1228.80	0.18	0.36
BMI_bfr_118	0	2	03	2	30	1.340170e+02	134.jpg	126.jpg	14	18	1	i	1	0	1121.02	0.68	0.66
BMI_bfr_118	0	2	03	2	31	1.430271e+02	150.jpg	137.jpg	11	15	1	u	1	1	1086.95	0.72	0.68
BMI_bfr_118	0	2	03	2	32	1.480161e+02	137.jpg	134.jpg	15	14	0	u	1	0	913.88	0.68	0.68
BMI_bfr_118	0	2	03	2	33	1.570261e+02	129.jpg	152.jpg	9	10	1	u	1	1	655.95	0.81	0.76
BMI_bfr_118	0	2	03	2	34	1.600295e+02	144.jpg	158.jpg	54	45	1	u	2	1	964.51	0.16	0.33
BMI_bfr_118	0	2	03	2	35	1.640173e+02	159.jpg	121.jpg	51	50	1	i	2	0	832.71	0.25	0.26
BMI_bfr_118	0	2	03	2	36	1.700241e+02	112.jpg	129.jpg	12	9	0	i	1	1	689.95	0.72	0.81
BMI_bfr_118	0	2	03	2	37	1.740286e+02	156.jpg	139.jpg	52	49	0	i	2	1	1349.41	0.19	0.26
BMI_bfr_118	0	2	03	2	38	1.810197e+02	152.jpg	138.jpg	10	17	0	i	1	1	1158.34	0.76	0.67
