subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 CueTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
p_141	 1	 8	 2030.jpg	 9.007550e+02	 24	 999000	 240	 999000	 999	 9.017717e+02	 250.00	 316.67	 57.00	 6	 0.18	 
p_141	 1	 8	 8001.jpg	 9.037550e+02	 12	 999000	 120	 999000	 999	 9.047716e+02	 250.00	 316.67	 5.00	 42	 0.83	 
p_141	 1	 8	 4610.jpg	 9.057550e+02	 12	 4.264357e+02	 12	 999000	 98	 9.067715e+02	 250.00	 316.67	 14.00	 18	 0.69	 
p_141	 1	 8	 7260.jpg	 9.077552e+02	 24	 1.162235e+03	 24	 999000	 98	 9.087715e+02	 250.00	 316.67	 51.00	 33	 0.26	 
p_141	 1	 8	 2345.jpg	 9.097548e+02	 24	 999000	 240	 999000	 999	 9.107714e+02	 250.00	 316.67	 41.00	 10	 0.38	 
p_141	 1	 8	 8420.jpg	 9.127547e+02	 24	 999000	 240	 999000	 999	 9.137713e+02	 250.00	 316.67	 39.00	 52	 0.38	 
p_141	 1	 8	 4628.jpg	 9.147546e+02	 22	 999000	 2	 3.166263e+02	 999	 9.157879e+02	 250.00	 266.67	 47.00	 22	 0.29	 
p_141	 1	 8	 4614.jpg	 9.187545e+02	 11	 4.667983e+02	 110	 2.499663e+02	 98	 9.197877e+02	 266.67	 266.67	 12.00	 20	 0.74	 
p_141	 1	 8	 2398.jpg	 9.207545e+02	 24	 8.988315e+02	 24	 999000	 98	 9.217710e+02	 266.67	 266.67	 40.00	 14	 0.38	 
p_141	 1	 8	 8470.jpg	 9.257543e+02	 22	 999000	 2	 2.665541e+02	 999	 9.267876e+02	 266.67	 216.67	 45.00	 55	 0.31	 
p_141	 1	 8	 4619.jpg	 9.277542e+02	 11	 6.670305e+02	 110	 2.665798e+02	 98	 9.287875e+02	 283.33	 216.67	 7.00	 21	 0.80	 
p_141	 1	 8	 8461.jpg	 9.317541e+02	 24	 999000	 240	 999000	 999	 9.327706e+02	 283.33	 216.67	 55.00	 53	 0.22	 
p_141	 1	 8	 4597.jpg	 9.337542e+02	 12	 999000	 120	 999000	 999	 9.347706e+02	 283.33	 216.67	 4.00	 17	 0.86	 
p_141	 1	 8	 5260.jpg	 9.367541e+02	 12	 999000	 120	 999000	 999	 9.377705e+02	 283.33	 216.67	 9.00	 26	 0.75	 
p_141	 1	 8	 5199.jpg	 9.417540e+02	 12	 999000	 120	 999000	 999	 9.427703e+02	 283.33	 216.67	 17.00	 25	 0.65	 
p_141	 1	 8	 7499.jpg	 9.437538e+02	 12	 999000	 120	 999000	 999	 9.447702e+02	 283.33	 216.67	 11.00	 40	 0.74	 
p_141	 1	 8	 5480.jpg	 9.457538e+02	 12	 999000	 120	 999000	 999	 9.467702e+02	 283.33	 216.67	 3.00	 27	 0.89	 
p_141	 1	 8	 7482.jpg	 9.497701e+02	 24	 999000	 240	 999000	 999	 9.507867e+02	 283.33	 216.67	 56.00	 39	 0.18	 
p_141	 1	 8	 7200.jpg	 9.537542e+02	 24	 999000	 240	 999000	 999	 9.547699e+02	 283.33	 216.67	 46.00	 32	 0.31	 
p_141	 1	 8	 4612.jpg	 9.577699e+02	 12	 999000	 120	 999000	 999	 9.587864e+02	 283.33	 216.67	 16.00	 19	 0.68	 
p_141	 1	 8	 8467.jpg	 9.597540e+02	 11	 999000	 1	 2.824022e+02	 999	 9.607864e+02	 233.33	 216.67	 13.00	 54	 0.73	 
p_141	 1	 8	 1590.jpg	 9.617542e+02	 12	 999000	 120	 999000	 999	 9.627696e+02	 233.33	 216.67	 21.00	 2	 0.59	 
p_141	 1	 8	 1721.jpg	 9.637542e+02	 24	 999000	 240	 999000	 999	 9.647696e+02	 233.33	 216.67	 42.00	 5	 0.34	 
p_141	 1	 8	 4641.jpg	 9.657541e+02	 11	 999000	 1	 2.320665e+02	 999	 9.667861e+02	 183.33	 216.67	 10.00	 24	 0.74	 
p_141	 1	 8	 2655.jpg	 9.717694e+02	 11	 999000	 1	 1.832334e+02	 999	 9.728026e+02	 133.33	 216.67	 18.00	 16	 0.62	 
p_141	 1	 8	 7480.jpg	 9.747528e+02	 24	 999000	 240	 999000	 999	 9.757692e+02	 133.33	 216.67	 54.00	 38	 0.25	 
p_141	 1	 8	 7430.jpg	 9.767692e+02	 24	 999000	 240	 999000	 999	 9.777858e+02	 133.33	 216.67	 48.00	 36	 0.29	 
p_141	 1	 8	 8510.jpg	 9.787691e+02	 22	 999000	 2	 2.166233e+02	 999	 9.797857e+02	 133.33	 166.67	 53.00	 59	 0.25	 
p_141	 1	 8	 8540.jpg	 9.817690e+02	 12	 999000	 120	 999000	 999	 9.827856e+02	 133.33	 166.67	 22.00	 60	 0.56	 
p_141	 1	 8	 7508.jpg	 9.837690e+02	 11	 999000	 1	 1.332813e+02	 999	 9.848023e+02	 83.33	 166.67	 15.00	 41	 0.69	 
p_141	 1	 8	 2155.jpg	 9.857689e+02	 24	 999000	 240	 999000	 999	 9.867855e+02	 83.33	 166.67	 58.00	 8	 0.16	 
p_141	 1	 8	 8502.jpg	 9.877688e+02	 24	 999000	 240	 999000	 999	 9.887854e+02	 83.33	 166.67	 49.00	 58	 0.29	 
p_141	 1	 8	 8170.jpg	 9.907687e+02	 12	 999000	 120	 999000	 999	 9.917853e+02	 83.33	 166.67	 19.00	 46	 0.62	 
p_141	 1	 8	 2362.jpg	 9.927687e+02	 22	 999000	 2	 1.665758e+02	 999	 9.937852e+02	 83.33	 116.67	 44.00	 13	 0.32	 
